data_seed,data_type,ntrain
30,gaussian,1000
30,mixture,250
30,mixture,500
30,mixture,1000
30,skewnorm,250
30,skewnorm,500
30,skewnorm,1000
30,ptm,250
30,ptm,500
30,ptm,1000
31,gaussian,250
31,gaussian,500
31,gaussian,1000
31,mixture,250
31,mixture,500
31,mixture,1000
31,skewnorm,250
31,skewnorm,500
31,skewnorm,1000
31,ptm,250
31,ptm,500
31,ptm,1000
32,gaussian,250
32,gaussian,500
32,gaussian,1000
32,mixture,250
32,mixture,500
32,mixture,1000
32,skewnorm,250
32,skewnorm,500
32,skewnorm,1000
32,ptm,250
32,ptm,500
32,ptm,1000
33,gaussian,250
33,gaussian,500
33,gaussian,1000
33,mixture,250
33,mixture,500
33,mixture,1000
33,skewnorm,250
33,skewnorm,500
33,skewnorm,1000
33,ptm,250
33,ptm,500
33,ptm,1000
34,gaussian,250
34,gaussian,500
34,gaussian,1000
34,mixture,250
34,mixture,500
34,mixture,1000
34,skewnorm,250
34,skewnorm,500
34,skewnorm,1000
34,ptm,250
34,ptm,500
34,ptm,1000
35,gaussian,250
35,gaussian,500
35,gaussian,1000
35,mixture,250
35,mixture,500
35,mixture,1000
35,skewnorm,250
35,skewnorm,500
35,skewnorm,1000
35,ptm,250
35,ptm,500
35,ptm,1000
36,gaussian,250
36,gaussian,500
36,gaussian,1000
36,mixture,250
36,mixture,500
36,mixture,1000
36,skewnorm,250
36,skewnorm,500
36,skewnorm,1000
36,ptm,250
36,ptm,500
36,ptm,1000
37,gaussian,250
37,gaussian,500
37,gaussian,1000
37,mixture,250
37,mixture,500
37,mixture,1000
37,skewnorm,250
37,skewnorm,500
37,skewnorm,1000
37,ptm,250
37,ptm,500
37,ptm,1000
38,gaussian,250
38,gaussian,500
38,gaussian,1000
38,mixture,250
38,mixture,500
38,mixture,1000
38,skewnorm,250
38,skewnorm,500
38,skewnorm,1000
38,ptm,250
38,ptm,500
38,ptm,1000
39,gaussian,250
39,gaussian,500
39,gaussian,1000
39,mixture,250
39,mixture,500
39,mixture,1000
39,skewnorm,250
39,skewnorm,500
39,skewnorm,1000
39,ptm,250
39,ptm,500
39,ptm,1000
40,gaussian,250
40,gaussian,500
40,gaussian,1000
40,mixture,250
40,mixture,500
40,mixture,1000
40,skewnorm,250
40,skewnorm,500
40,skewnorm,1000
40,ptm,250
40,ptm,500
40,ptm,1000
41,gaussian,250
41,gaussian,500
41,gaussian,1000
41,mixture,250
41,mixture,500
41,mixture,1000
41,skewnorm,250
41,skewnorm,500
41,skewnorm,1000
41,ptm,250
41,ptm,500
41,ptm,1000
42,gaussian,250
42,gaussian,500
42,gaussian,1000
42,mixture,250
42,mixture,500
42,mixture,1000
42,skewnorm,250
42,skewnorm,500
42,skewnorm,1000
42,ptm,250
42,ptm,500
42,ptm,1000
43,gaussian,250
43,gaussian,500
43,gaussian,1000
43,mixture,250
43,mixture,500
43,mixture,1000
43,skewnorm,250
43,skewnorm,500
43,skewnorm,1000
43,ptm,250
43,ptm,500
43,ptm,1000
44,gaussian,250
44,gaussian,500
44,gaussian,1000
44,mixture,250
44,mixture,500
44,mixture,1000
44,skewnorm,250
44,skewnorm,500
44,skewnorm,1000
44,ptm,250
44,ptm,500
44,ptm,1000
45,gaussian,250
45,gaussian,500
45,gaussian,1000
45,mixture,250
45,mixture,500
45,mixture,1000
45,skewnorm,250
45,skewnorm,500
45,skewnorm,1000
45,ptm,250
45,ptm,500
45,ptm,1000
46,gaussian,250
46,gaussian,500
46,gaussian,1000
46,mixture,250
46,mixture,500
46,mixture,1000
46,skewnorm,250
46,skewnorm,500
46,skewnorm,1000
46,ptm,250
46,ptm,500
46,ptm,1000
47,gaussian,250
47,gaussian,500
47,gaussian,1000
47,mixture,250
47,mixture,500
47,mixture,1000
47,skewnorm,250
47,skewnorm,500
47,skewnorm,1000
47,ptm,250
47,ptm,500
47,ptm,1000
48,gaussian,250
48,gaussian,500
48,gaussian,1000
48,mixture,250
48,mixture,500
48,mixture,1000
48,skewnorm,250
48,skewnorm,500
48,skewnorm,1000
48,ptm,250
48,ptm,500
48,ptm,1000
49,gaussian,250
49,gaussian,500
49,gaussian,1000
49,mixture,250
49,mixture,500
49,mixture,1000
49,skewnorm,250
49,skewnorm,500
49,skewnorm,1000
49,ptm,250
49,ptm,500
49,ptm,1000
50,gaussian,250
50,gaussian,500
50,gaussian,1000
50,mixture,250
50,mixture,500
50,mixture,1000
50,skewnorm,250
50,skewnorm,500
50,skewnorm,1000
50,ptm,250
50,ptm,500
50,ptm,1000
51,gaussian,250
51,gaussian,500
51,gaussian,1000
51,mixture,250
51,mixture,500
51,mixture,1000
51,skewnorm,250
51,skewnorm,500
51,skewnorm,1000
51,ptm,250
51,ptm,500
51,ptm,1000
52,gaussian,250
52,gaussian,500
52,gaussian,1000
52,mixture,250
52,mixture,500
52,mixture,1000
52,skewnorm,250
52,skewnorm,500
52,skewnorm,1000
52,ptm,250
52,ptm,500
52,ptm,1000
53,gaussian,250
53,gaussian,500
53,gaussian,1000
53,mixture,250
53,mixture,500
53,mixture,1000
53,skewnorm,250
53,skewnorm,500
53,skewnorm,1000
53,ptm,250
53,ptm,500
53,ptm,1000
54,gaussian,250
54,gaussian,500
54,gaussian,1000
54,mixture,250
54,mixture,500
54,mixture,1000
54,skewnorm,250
54,skewnorm,500
54,skewnorm,1000
54,ptm,250
54,ptm,500
54,ptm,1000
55,gaussian,250
55,gaussian,500
55,gaussian,1000
55,mixture,250
55,mixture,500
55,mixture,1000
55,skewnorm,250
55,skewnorm,500
55,skewnorm,1000
55,ptm,250
55,ptm,500
55,ptm,1000
56,gaussian,250
56,gaussian,500
56,gaussian,1000
56,mixture,250
56,mixture,500
56,mixture,1000
56,skewnorm,250
56,skewnorm,500
56,skewnorm,1000
56,ptm,250
56,ptm,500
56,ptm,1000
57,gaussian,250
57,gaussian,500
57,gaussian,1000
57,mixture,250
57,mixture,500
57,mixture,1000
57,skewnorm,250
57,skewnorm,500
57,skewnorm,1000
57,ptm,250
57,ptm,500
57,ptm,1000
58,gaussian,250
58,gaussian,500
58,gaussian,1000
58,mixture,250
58,mixture,500
58,mixture,1000
58,skewnorm,250
58,skewnorm,500
58,skewnorm,1000
58,ptm,250
58,ptm,500
58,ptm,1000
59,gaussian,250
59,gaussian,500
59,gaussian,1000
59,mixture,250
59,mixture,500
59,mixture,1000
59,skewnorm,250
59,skewnorm,500
59,skewnorm,1000
59,ptm,250
59,ptm,500
59,ptm,1000
60,gaussian,250
60,gaussian,500
60,gaussian,1000
60,mixture,250
60,mixture,500
60,mixture,1000
60,skewnorm,250
60,skewnorm,500
60,skewnorm,1000
60,ptm,250
60,ptm,500
60,ptm,1000
61,gaussian,250
61,gaussian,500
61,gaussian,1000
61,mixture,250
61,mixture,500
61,mixture,1000
61,skewnorm,250
61,skewnorm,500
61,skewnorm,1000
61,ptm,250
61,ptm,500
61,ptm,1000
62,gaussian,250
62,gaussian,500
62,gaussian,1000
62,mixture,250
62,mixture,500
62,mixture,1000
62,skewnorm,250
62,skewnorm,500
62,skewnorm,1000
62,ptm,250
62,ptm,500
62,ptm,1000
63,gaussian,250
63,gaussian,500
63,gaussian,1000
63,mixture,250
63,mixture,500
63,mixture,1000
63,skewnorm,250
63,skewnorm,500
63,skewnorm,1000
63,ptm,250
63,ptm,500
63,ptm,1000
64,gaussian,250
64,gaussian,500
64,gaussian,1000
64,mixture,250
64,mixture,500
64,mixture,1000
64,skewnorm,250
64,skewnorm,500
64,skewnorm,1000
64,ptm,250
64,ptm,500
64,ptm,1000
65,gaussian,250
65,gaussian,500
65,gaussian,1000
65,mixture,250
65,mixture,500
65,mixture,1000
65,skewnorm,250
65,skewnorm,500
65,skewnorm,1000
65,ptm,250
65,ptm,500
65,ptm,1000
66,gaussian,250
66,gaussian,500
66,gaussian,1000
66,mixture,250
66,mixture,500
66,mixture,1000
66,skewnorm,250
66,skewnorm,500
66,skewnorm,1000
66,ptm,250
66,ptm,500
66,ptm,1000
67,gaussian,250
67,gaussian,500
67,gaussian,1000
67,mixture,250
67,mixture,500
67,mixture,1000
67,skewnorm,250
67,skewnorm,500
67,skewnorm,1000
67,ptm,250
67,ptm,500
67,ptm,1000
68,gaussian,250
68,gaussian,500
68,gaussian,1000
68,mixture,250
68,mixture,500
68,mixture,1000
68,skewnorm,250
68,skewnorm,500
68,skewnorm,1000
68,ptm,250
68,ptm,500
68,ptm,1000
69,gaussian,250
69,gaussian,500
69,gaussian,1000
69,mixture,250
69,mixture,500
69,mixture,1000
69,skewnorm,250
69,skewnorm,500
69,skewnorm,1000
69,ptm,250
69,ptm,500
69,ptm,1000
70,gaussian,250
70,gaussian,500
70,gaussian,1000
70,mixture,250
70,mixture,500
70,mixture,1000
70,skewnorm,250
70,skewnorm,500
70,skewnorm,1000
70,ptm,250
70,ptm,500
70,ptm,1000
71,gaussian,250
71,gaussian,500
71,gaussian,1000
71,mixture,250
71,mixture,500
71,mixture,1000
71,skewnorm,250
71,skewnorm,500
71,skewnorm,1000
71,ptm,250
71,ptm,500
71,ptm,1000
72,gaussian,250
72,gaussian,500
72,gaussian,1000
72,mixture,250
72,mixture,500
72,mixture,1000
72,skewnorm,250
72,skewnorm,500
72,skewnorm,1000
72,ptm,250
72,ptm,500
72,ptm,1000
73,gaussian,250
73,gaussian,500
73,gaussian,1000
73,mixture,250
73,mixture,500
73,mixture,1000
73,skewnorm,250
73,skewnorm,500
