waic,kld,log_score,crps,cdf_mad,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
847.3515424562229,0.17931912278375203,9339.37905161876,0.874594005759936,0.13036651195409213,0.864,0.33733410554313514,gaussian,1,ptm-iwls-nuts,250,5000,654.6836032867432,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
1704.30797293965,0.08964708865212023,8891.0188809606,0.8407891607172093,0.09190198075390146,0.8672,0.25004896831822093,gaussian,1,ptm-iwls-nuts,500,5000,924.3950715065002,010j-ptm-iwls-nuts-ig1_005,20251213-101145,iwls-nuts,FALSE,1,0.005
919.2415934424909,0.08889721481183312,8828.562382849164,0.8455257193582757,0.12055276498174622,0.9436,0.3614132042534855,gaussian,2,ptm-iwls-nuts,250,5000,565.3673624992371,010j-ptm-iwls-nuts-ig1_005,20251213-101156,iwls-nuts,FALSE,1,0.005
1757.749473480971,0.03801120713891929,8574.132344484597,0.8181273353962372,0.08551142779653785,0.9496,0.2654372960097322,gaussian,2,ptm-iwls-nuts,500,5000,789.6852283477783,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
882.5285719397491,0.1054486381559313,9011.719347769658,0.8664724695582765,0.12395638259919696,0.94,0.3711926215876712,gaussian,3,ptm-iwls-nuts,250,5000,591.4129521846771,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
1742.446500738355,0.05355049513787672,8752.228632679384,0.8328231379016247,0.08239202778845417,0.9478,0.2547916797400558,gaussian,3,ptm-iwls-nuts,500,5000,811.1319091320038,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
857.5394643018254,0.07674862941529434,8791.755123166471,0.8355859655458268,0.11469240271564098,0.9726,0.3688265452369987,gaussian,4,ptm-iwls-nuts,250,5000,577.3190474510193,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
1700.9592426074232,0.03624321337031216,8589.22804294156,0.8181869952647949,0.07949505965519554,0.9732,0.2602817560445227,gaussian,4,ptm-iwls-nuts,500,5000,768.4068398475647,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
869.5923321123455,0.10657480572822904,8976.812172251146,0.85024604687243,0.12117704195145428,0.9338,0.3627801848372972,gaussian,5,ptm-iwls-nuts,250,5000,535.9847111701965,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
1706.8947696298242,0.06153705164850177,8751.623401852507,0.8305768627401209,0.09007524889265732,0.9124,0.26583294022986326,gaussian,5,ptm-iwls-nuts,500,5000,788.6812946796417,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
875.3993784290676,0.1177887610625355,9004.943859662675,0.8598042202165127,0.12542457105542004,0.925,0.3656656345922635,gaussian,6,ptm-iwls-nuts,250,5000,548.83234333992,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
1733.6963391644242,0.06455292621503371,8738.764685425169,0.8361756865601607,0.09036263625516083,0.9372,0.27163792329688197,gaussian,6,ptm-iwls-nuts,500,5000,833.3482420444489,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
851.2504258443412,0.10072461376269808,8911.82243960349,0.8480424469109243,0.12191407179154191,0.8824,0.3388343452701265,gaussian,7,ptm-iwls-nuts,250,5000,570.9375808238983,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
1713.7507379511926,0.06565808212149485,8736.489781397475,0.8273548283620219,0.09270285576192212,0.8978,0.26655357057098483,gaussian,7,ptm-iwls-nuts,500,5000,842.0525124073029,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
905.3621784398836,0.1093447863457045,9057.978665278522,0.879318262625934,0.12689668240166582,0.9192,0.3662565101804061,gaussian,8,ptm-iwls-nuts,250,5000,559.4313361644745,010j-ptm-iwls-nuts-ig1_005,20251213-105024,iwls-nuts,FALSE,1,0.005
1787.958074285357,0.05193310743938082,8770.920270746903,0.8433558116094253,0.08969662041347072,0.9568,0.2767990709273916,gaussian,8,ptm-iwls-nuts,500,5000,797.5794627666473,010j-ptm-iwls-nuts-ig1_005,20251213-105440,iwls-nuts,FALSE,0.01,0.01
889.293428728503,0.08659868591939074,8827.406094056954,0.8486967290511291,0.1190739476342511,0.9248,0.3532426407461517,gaussian,9,ptm-iwls-nuts,250,5000,642.3852622509003,010j-ptm-iwls-nuts-ig1_005,20251213-105211,iwls-nuts,FALSE,1,0.005
1742.408700682387,0.04118115731998256,8600.318451059913,0.8172024296525133,0.08689675036999944,0.9582,0.274526231305561,gaussian,9,ptm-iwls-nuts,500,5000,852.4460022449493,010j-ptm-iwls-nuts-ig1_005,20251213-105720,iwls-nuts,FALSE,0.01,0.01
839.1600274483784,0.08111699374173689,8824.998492058683,0.849484241392168,0.1277934742348578,0.919,0.36710807838755966,gaussian,10,ptm-iwls-nuts,250,5000,744.9880545139313,010j-ptm-iwls-nuts-ig1_005,20251213-105734,iwls-nuts,FALSE,0.01,0.01
1710.015829542281,0.04758563503788568,8657.341698539429,0.8228166831753825,0.08912181083107819,0.9084,0.25954311164959964,gaussian,10,ptm-iwls-nuts,500,5000,951.2888548374176,010j-ptm-iwls-nuts-ig1_005,20251213-110135,iwls-nuts,FALSE,1,0.005
814.3893021645154,0.14907901724432338,9070.183551501616,0.840098866904913,0.1256533326591865,0.8746,0.3409849315657666,gaussian,11,ptm-iwls-nuts,250,5000,601.5570137500763,010j-ptm-iwls-nuts-ig1_005,20251213-105633,iwls-nuts,FALSE,0.01,0.01
1700.6966690560223,0.07562646455895394,8702.920788074769,0.8095026232094242,0.08993492439215023,0.9118,0.26352797886862617,gaussian,11,ptm-iwls-nuts,500,5000,800.2160003185272,010j-ptm-iwls-nuts-ig1_005,20251213-110214,iwls-nuts,FALSE,0.01,0.01
819.4195720895481,0.12848109877039737,9095.315740801989,0.8708210842975205,0.12897240972057122,0.89,0.3556770658755008,gaussian,12,ptm-iwls-nuts,250,5000,596.420862197876,010j-ptm-iwls-nuts-ig1_005,20251213-110151,iwls-nuts,FALSE,0.01,0.01
1670.816475523275,0.07130246624099325,8809.422578154965,0.8398437636896079,0.09357464443473888,0.9056,0.2675780624183759,gaussian,12,ptm-iwls-nuts,500,5000,887.4017298221588,010j-ptm-iwls-nuts-ig1_005,20251213-110614,iwls-nuts,FALSE,0.01,0.01
911.6331783438476,0.09259771582026743,8848.424792511336,0.8366312093437309,0.1215644543708807,0.9598,0.3820631398554239,gaussian,13,ptm-iwls-nuts,250,5000,549.2837839126587,010j-ptm-iwls-nuts-ig1_005,20251213-110437,iwls-nuts,FALSE,0.01,0.01
1791.5510719413348,0.07121504260984714,8741.511426459236,0.8300042246856,0.09961209117643108,0.889,0.27761923982521536,gaussian,13,ptm-iwls-nuts,500,5000,798.1191065311432,010j-ptm-iwls-nuts-ig1_005,20251213-110913,iwls-nuts,FALSE,0.01,0.01
873.8044229429663,0.131804944396201,9130.840184551003,0.8833925525948191,0.13597387271410813,0.8778,0.3679842201302781,gaussian,14,ptm-iwls-nuts,250,5000,620.9341249465942,010j-ptm-iwls-nuts-ig1_005,20251213-111013,iwls-nuts,FALSE,0.01,0.01
1789.4708198952353,0.05771624937461073,8760.396709443054,0.8392542923554449,0.09125420737788228,0.9122,0.2633764226528932,gaussian,14,ptm-iwls-nuts,500,5000,895.0353786945343,010j-ptm-iwls-nuts-ig1_005,20251213-111509,iwls-nuts,FALSE,1,0.005
877.673366408517,0.16202145329220757,9255.571272581035,0.8794715586457577,0.13460720073570018,0.8616,0.3590725445319759,gaussian,15,ptm-iwls-nuts,250,5000,588.0983736515045,010j-ptm-iwls-nuts-ig1_005,20251213-111352,iwls-nuts,FALSE,0.01,0.01
1719.6282905555306,0.08958776862283842,8893.402849234191,0.8376725926992222,0.09411838281075804,0.8896,0.26719661929716126,gaussian,15,ptm-iwls-nuts,500,5000,812.054141998291,010j-ptm-iwls-nuts-ig1_005,20251213-111746,iwls-nuts,FALSE,0.01,0.01
872.2594195203284,0.09734119899917865,8931.665765055894,0.8462547450579311,0.12298603342074962,0.9344,0.3656277657791092,gaussian,16,ptm-iwls-nuts,250,5000,672.9082117080688,010j-ptm-iwls-nuts-ig1_005,20251213-111742,iwls-nuts,FALSE,0.01,0.01
1705.2998374707458,0.04362849709593787,8663.102255539688,0.8163757359510605,0.08423655726245395,0.9464,0.2594560666662373,gaussian,16,ptm-iwls-nuts,500,5000,951.459798336029,010j-ptm-iwls-nuts-ig1_005,20251213-112217,iwls-nuts,FALSE,1,0.005
906.3332445746588,0.14440535297545026,8971.95256652725,0.8564243249210797,0.13395020168719887,0.8664,0.3612845983637752,gaussian,17,ptm-iwls-nuts,250,5000,622.09466552734375,010j-ptm-iwls-nuts-ig1_005,20251213-111847,iwls-nuts,FALSE,1,0.005
1780.1124878868825,0.07797106072441268,8639.781105272064,0.8182803187341235,0.09589094324462416,0.881,0.26525806719550493,gaussian,17,ptm-iwls-nuts,500,5000,849.5136411190033,010j-ptm-iwls-nuts-ig1_005,20251213-112233,iwls-nuts,FALSE,1,0.005
891.637170812917,0.1333056367506756,9049.922760693378,0.8684973161167379,0.12827038024487716,0.8762,0.34821230048705415,gaussian,18,ptm-iwls-nuts,250,5000,602.616664648056,010j-ptm-iwls-nuts-ig1_005,20251213-112027,iwls-nuts,FALSE,1,0.005
1800.678166978424,0.08047233846243414,8785.75626925217,0.8392473119805851,0.09893788100758089,0.8722,0.2761023993521341,gaussian,18,ptm-iwls-nuts,500,5000,783.6126911640167,010j-ptm-iwls-nuts-ig1_005,20251213-112635,iwls-nuts,FALSE,0.01,0.01
894.3330624722022,0.10669634332443297,8886.537575492166,0.8491522009028528,0.12344475482263492,0.953,0.3730637746434647,gaussian,19,ptm-iwls-nuts,250,5000,576.2599296569824,010j-ptm-iwls-nuts-ig1_005,20251213-112451,iwls-nuts,FALSE,0.01,0.01
1741.8157002592525,0.05294434148173372,8617.777566278668,0.8220127081560715,0.0884844111191257,0.9434,0.2734956110825973,gaussian,19,ptm-iwls-nuts,500,5000,795.4482569694519,010j-ptm-iwls-nuts-ig1_005,20251213-113030,iwls-nuts,FALSE,0.01,0.01
899.8135872468828,0.12356988093419644,8966.653024090981,0.8568469635957411,0.1355263645272638,0.8954,0.3784855232903873,gaussian,20,ptm-iwls-nuts,250,5000,621.3198726177216,010j-ptm-iwls-nuts-ig1_005,20251213-112852,iwls-nuts,FALSE,0.01,0.01
