mcmc_duration_seconds,ess_bulk_tau,ess_tail_tau,rhat_tau,ess_bulk_tau_clipped,ess_tail_tau_clipped,rhat_tau_clipped,ess_bulk_min_delta,ess_tail_min_delta,rhat_max_delta,ess_bulk_median_delta,ess_tail_median_delta,rhat_median_delta,ess_bulk_per_minute_tau,ess_tail_per_minute_tau,ess_bulk_per_minute_tau_clipped,ess_tail_per_minute_tau_clipped,ess_bulk_min_per_minute_delta,ess_tail_min_per_minute_delta,ess_bulk_median_per_minute_delta,ess_tail_median_per_minute_delta,delta_acceptance_prob,delta_position_moved,tau_acceptance_prob,tau_position_moved,run
98.3510422706604,1498.463037890635,1684.170801674912,1.0010862555162057,1498.463037890635,1684.170801674912,1.0010862555162057,10856.454328387465,3516.344677089619,1.001026511244908,26819.4920975834,6208.27480720135,1.0003824368186849,914.151799489968,1027.444608287995,914.151799489968,1027.444608287995,6623.08446015896,2145.179916291704,16361.489301014184,3787.417802924518,0.8036244129606015,99,0.8036244129606015,99,dummy-000kltpi
75.07166624069214,4119.887890712158,7376.23835401703,1.0009945712557031,4119.887890712158,7376.23835401703,1.0009945712557031,15311.644611317755,13004.451433418812,1.000485791701878,36967.309504187586,17347.180293023128,1.00022742769192,3292.7639124218595,5895.357375205389,3292.7639124218595,5895.357375205389,12237.622030841383,10393.629515341563,29545.61529432233,13864.496016970135,0.8144827465267488,99,1,1,dummy-00cqv4pk
63.60361671447754,2487.678300898173,3711.3360784560496,1.004153630126709,2487.678300898173,3711.3360784560496,1.004153630126709,9356.465271302062,6216.503228266053,1.0021588241575312,27370.625059157224,9790.496873289412,1.0009606524006067,2346.7328709298927,3501.0613579884084,2346.7328709298927,3501.0613579884084,8826.352105073609,5864.292204802603,25819.87610738534,9235.792597052949,0.8291325841048038,99,1,1,dummy-00jij9dz
257.075306892395,2323.91387580752,4304.927984942998,1.0016639790731052,2323.91387580752,4304.927984942998,1.0016639790731052,15225.738242198928,7194.624882638594,1.0011680081677958,24629.53027547793,8385.355349293855,1.0006110056531046,542.3890541413025,1004.747138956818,542.3890541413025,1004.747138956818,3553.605772468537,1679.186920659807,5748.400476080077,1957.097035259885,0.8213194728599076,99,0.8213194728599076,99,dummy-00yziisg
381.0544157028198,1882.6518434061031,4051.066146476154,1.0028640278801204,1882.6518434061031,4051.066146476154,1.0028640278801204,9423.237815859004,7901.295360606611,1.001614675936486,36979.17687787693,9703.238700342476,1.000821653115043,296.4382669494159,637.8720696367213,296.4382669494159,637.8720696367213,1483.76254322817,1244.120792464782,5822.660809691273,1527.8508738620567,0.8391333779999743,99,0.8391333779999743,99,dummy-01kug0kc
78.18627071380615,1242.6156636092114,1319.9910620788175,1.0011783964313938,1242.6156636092114,1319.9910620788175,1.001087566139277,18782.705315698768,5283.1851934749775,1.0008499988301975,37321.868915326166,6997.735904714285,1.0005210651692351,953.5809693425804,1012.9587074773218,953.5809693425804,1012.9587074773218,14413.813431095476,4054.306577286647,28640.73339827617,5370.049632111657,0.7843066647589474,99,0.7843066647589474,99,dummy-01tblfht
84.83921599388123,2169.212958443803,3806.925787161465,1.0020928993534546,2169.212958443803,3806.925787161465,1.0020928993534546,36125.28066929508,8994.431223432226,1.0012605181364798,38070.969731379126,9752.409132429671,1.0009239130990664,1534.1110355854191,2692.3344888778993,1534.1110355854191,2692.3344888778993,25548.525110298408,6361.0426744732695,26924.55555043664,6897.099897622605,0.8041999229807781,99,0.8041999229807781,99,dummy-01tdjukh
94.23102593421936,491.0856052351428,201.6882258708937,1.008536676744254,491.0856052351428,201.6882258708937,1.008536676744254,8041.938519193147,4430.109820074325,1.0027226939908325,19685.088102788097,5696.482135823061,1.0016858873553869,312.69039068594606,128.42154091266366,312.69039068594606,128.42154091266366,5120.567311751684,2820.796935714287,12534.144401566738,3627.137927883531,0.7533645433793691,99,0.7533645433793691,99,dummy-028unrcd
333.83247566223145,3190.523894229995,4272.1885278403915,1.000594187594155,3190.523894229995,4272.1885278403915,1.0004465684968622,34169.04825696209,12004.897749329624,1.0004822742411297,58282.50150273026,15109.029460137328,1.0001615043047307,573.4356229844104,767.8441444677693,573.4356229844104,767.8441444677693,6141.232638768316,2157.6506705374104,10475.164476514252,2715.5589515666834,0.8423094537095386,99,0.8423094537095386,99,dummy-02hzwrcj
87.63723802566528,427.1326359746132,160.63046154114377,1.0106179923354632,427.1326359746132,160.63046154114377,1.0079275812276538,9003.900574785543,4626.44478887425,1.002456240430618,23881.850013787534,5495.208850890058,1.001504321001406,292.43228946776526,109.97411499488504,292.43228946776526,109.97411499488504,6164.434738677189,3167.451343584806,16350.481063855672,3762.242380993847,0.7442589661425628,99,0.7442589661425628,99,dummy-02klltb4
