kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob
0.07178124151342757,0.06215561676070479,dummy-0e2ag4rb,NA,NA,NA,NA,NA,NA,NA,NA
0.07015303056589231,0.07564987131872722,dummy-0e9gvesn,NA,NA,NA,NA,NA,NA,NA,NA
0.04635253334148277,0.04017401231886751,dummy-0ejkmlqe,NA,NA,NA,NA,NA,NA,NA,NA
0.39998236278269783,0.1524717968314448,dummy-0f4pce05,NA,NA,NA,NA,NA,NA,NA,NA
0.1509683459814676,0.07800671225646523,dummy-0fof1stt,NA,NA,NA,NA,NA,NA,NA,NA
0.01849784263345194,0.03346543332733715,dummy-0g13605o,NA,NA,NA,NA,NA,NA,NA,NA
0.14881378644668206,0.10095252405064847,dummy-0gbcs5bk,NA,NA,NA,NA,NA,NA,NA,NA
0.1815273240926087,0.09623481338820518,dummy-0gyeuof0,NA,NA,NA,NA,NA,NA,NA,NA
0.03120516056372463,0.01540158699951797,dummy-0h8j47si,NA,NA,NA,NA,NA,NA,NA,NA
0.04105816564577869,0.05119439806687452,dummy-0hi1mkka,NA,NA,NA,NA,NA,NA,NA,NA
0.00545292012774349,0.01385812608266686,dummy-0hn27rjm,NA,NA,NA,NA,NA,NA,NA,NA
0.03927543870369104,0.03772555479940603,dummy-0i8kjiri,NA,NA,NA,NA,NA,NA,NA,NA
0.0461918252576984,0.05241225205757075,dummy-0igvd97s,NA,NA,NA,NA,NA,NA,NA,NA
0.14427750089249328,0.06519350869766188,dummy-0ird9vf3,NA,NA,NA,NA,NA,NA,NA,NA
0.06647389755045044,0.10119409988620227,dummy-0j1qw0xo,NA,NA,NA,NA,NA,NA,NA,NA
0.1370657174483244,0.0641222287049971,dummy-0ja4ezkh,NA,NA,NA,NA,NA,NA,NA,NA
0.03578525362671685,0.0440291043131175,dummy-0jkjadgh,NA,NA,NA,NA,NA,NA,NA,NA
0.13902249358837496,0.07132584367193144,dummy-0jlt7jvk,NA,NA,NA,NA,NA,NA,NA,NA
0.1048987939503769,0.0366694727780392,dummy-0jpmgulp,NA,NA,NA,NA,NA,NA,NA,NA
0.18077417144872607,0.07084614249377076,dummy-0jw7iz6t,NA,NA,NA,NA,NA,NA,NA,NA
0.09371726999178157,0.06304807902406699,dummy-0jw8i3sp,NA,NA,NA,NA,NA,NA,NA,NA
0.0925570817647744,0.04435806221811101,dummy-0k6aswal,NA,NA,NA,NA,NA,NA,NA,NA
0.04721601689366193,0.04098248728712767,dummy-0k6m800e,NA,NA,NA,NA,NA,NA,NA,NA
0.06782215643595399,0.07200668908959443,dummy-0k7jemv9,NA,NA,NA,NA,NA,NA,NA,NA
0.15640206448937383,0.0856964799813162,dummy-0l4h7usd,NA,NA,NA,NA,NA,NA,NA,NA
0.02010043959385498,0.01725716341504675,dummy-0laepmmo,NA,NA,NA,NA,NA,NA,NA,NA
0.03451330119392832,0.05186418601474407,dummy-0lchp6o0,NA,NA,NA,NA,NA,NA,NA,NA
0.01443166120896717,0.03011689705228873,dummy-0lgnm0bp,NA,NA,NA,NA,NA,NA,NA,NA
0.02084507544057641,0.03273305655150647,dummy-0lot9hao,NA,NA,NA,NA,NA,NA,NA,NA
0.08379926090625023,0.0383022171359717,dummy-0lwfdw5v,NA,NA,NA,NA,NA,NA,NA,NA
0.02441613319760739,0.02852673329626658,dummy-0m5qke9r,NA,NA,NA,NA,NA,NA,NA,NA
0.04063981865320746,0.03286706727695218,dummy-0mi8e87u,NA,NA,NA,NA,NA,NA,NA,NA
0.22413541304453863,0.08328197582323442,dummy-0mu3snmy,NA,NA,NA,NA,NA,NA,NA,NA
0.02990369561694525,0.04925981806694059,dummy-0mwa9bv2,NA,NA,NA,NA,NA,NA,NA,NA
0.02826540613348153,0.01468769116658697,dummy-0n45fhja,NA,NA,NA,NA,NA,NA,NA,NA
0.06609965833556139,0.03133039500022137,dummy-0n7m2usw,NA,NA,NA,NA,NA,NA,NA,NA
0.13091353212563842,0.06389306505947458,dummy-0o3xuk2a,NA,NA,NA,NA,NA,NA,NA,NA
0.08667563153956512,0.04861740888614006,dummy-0o43sa6e,NA,NA,NA,NA,NA,NA,NA,NA
0.00958347807345094,0.02974518208449446,dummy-0obx34pk,NA,NA,NA,NA,NA,NA,NA,NA
0.0946127289075566,0.05984611791633016,dummy-0od6xbp4,NA,NA,NA,NA,NA,NA,NA,NA
0.03033308339621583,0.04164888524202285,dummy-0od8oxq0,NA,NA,NA,NA,NA,NA,NA,NA
0.172222132419824,0.06183170230115404,dummy-0ohytqlx,NA,NA,NA,NA,NA,NA,NA,NA
0.15748064720220914,0.07018940724591403,dummy-0orgvq5h,NA,NA,NA,NA,NA,NA,NA,NA
0.00262736470015532,0.0116212313621156,dummy-0owf91m8,NA,NA,NA,NA,NA,NA,NA,NA
0.11247081885627994,0.04820384331036966,dummy-0p9in8ii,NA,NA,NA,NA,NA,NA,NA,NA
0.07850318716597271,0.03237728129822478,dummy-0p9r12wb,NA,NA,NA,NA,NA,NA,NA,NA
0.1370575416253802,0.01607129179104404,dummy-0pl8piw9,NA,NA,NA,NA,NA,NA,NA,NA
0.07615511964362282,0.04335080786809742,dummy-0ptt5e46,NA,NA,NA,NA,NA,NA,NA,NA
0.08292230058781434,0.04289878294708887,dummy-0pu8cvz1,NA,NA,NA,NA,NA,NA,NA,NA
