index,variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,y,pdf
602,prob,prob[0],"(0,)",2000,1.4296719163704922e-06,4.66360377456533e-13,6.829058335206495e-07,1.0042772293598288,2229.9188193127943,996.0068061862634,1.4881937417010424e-08,2.0716764909586483e-08,4.7398003606999175e-07,1.3480373394423978e-06,2.664399946856963e-06,3.769944533496949e-07,2.4646201045339985e-06,-5.0,1.4296719163704922e-06
603,prob,prob[1],"(1,)",2000,1.6930138856953886e-06,6.453926464284027e-13,8.03363334007971e-07,1.0042707512869744,2229.9188193127943,996.0068061862634,1.7496677929773138e-08,2.4291767278347817e-08,5.658640897280369e-07,1.5982407978147266e-06,3.1441905339422456e-06,4.5074524325448193e-07,2.9100110160252634e-06,-4.966666666666667,1.6930138856953886e-06
604,prob,prob[2],"(2,)",2000,2.0025640343276182e-06,8.910406188095644e-13,9.439494789497817e-07,1.004272547371727,2229.9188193127943,996.0068061862634,2.0546620260801593e-08,2.845123222879491e-08,6.747796634192619e-07,1.8926934102465193e-06,3.706090858107568e-06,5.383009060875455e-07,3.4319191343545962e-06,-4.933333333333333,2.0025640343276182e-06
605,prob,prob[3],"(3,)",2000,2.3659963397118273e-06,1.2272742723668898e-12,1.1078241161695703e-06,1.004282315887309,2229.9188193127943,996.0068061862634,2.4099813241998002e-08,3.3284957229983884e-08,8.037289345363339e-07,2.238804104093854e-06,4.363359893561054e-06,6.421209450924807e-07,4.042753166968528e-06,-4.9,2.3659963397118273e-06
606,prob,prob[4],"(4,)",2000,2.7921805376150024e-06,1.686381787440009e-12,1.2986076341374284e-06,1.0042776958368629,2229.9188193127943,996.0068061862634,2.8234184853618624e-08,3.889556110257015e-08,9.562137585359548e-07,2.6451462278676772e-06,5.1312571010745165e-06,7.650790826388155e-07,4.7568030763913755e-06,-4.866666666666667,2.7921805376150024e-06
607,prob,prob[5],"(5,)",2000,3.2913547947589153e-06,2.311744419563035e-12,1.5204421789607899e-06,1.0042837384519503,2229.9188193127943,996.0068061862634,3.303885045274371e-08,4.5400157163717675e-08,1.1363134310922393e-06,3.1216272521916955e-06,6.0273204564957705e-06,9.105285912942321e-07,5.590503018570869e-06,-4.833333333333333,3.2913547947589153e-06
608,prob,prob[6],"(6,)",2000,3.875321057051435e-06,3.16149762328645e-12,1.7780600730252199e-06,1.0042800832677543,2229.9188193127943,996.0068061862634,3.8615574382091755e-08,5.2932220548748744e-08,1.3487736056726068e-06,3.6796809832351624e-06,7.071679281026443e-06,1.0823771452740048e-06,6.562727424698582e-06,-4.8,3.875321057051435e-06
609,prob,prob[7],"(7,)",2000,4.557665695280873e-06,4.313348046312009e-12,2.0768601412497685e-06,1.0042828852302492,2229.9188193127943,996.0068061862634,4.508039995993914e-08,6.164366872565288e-08,1.5991078087113618e-06,4.3324849225876975e-06,8.287405640724229e-06,1.2851724472528636e-06,7.695123848786207e-06,-4.766666666666667,4.557665695280873e-06
610,prob,prob[8],"(8,)",2000,5.354008319825469e-06,5.8708936221876274e-12,2.422992699573737e-06,1.0042738133283926,2229.9188193127943,996.0068061862634,5.256546388777506e-08,7.170717559076527e-08,1.893713155804546e-06,5.095205662336312e-06,9.700908404327641e-06,1.5242000296350402e-06,9.012486517521151e-06,-4.733333333333333,5.354008319825469e-06
611,prob,prob[9],"(9,)",2000,6.252588025103311e-06,7.74519729093689e-12,2.783019455723745e-06,1.0042947516557292,2229.9188193127943,996.0068061862634,6.030070162909457e-08,8.180253522365644e-08,2.2543459231178185e-06,5.966143563930395e-06,1.1232910102568186e-05,1.8208718982975637e-06,1.0449296814438812e-05,-4.7,6.252588025103311e-06
