index,variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,y,pdf
602,prob,prob[0],"(0,)",2000,2.956863322319109e-06,1.6365949034993423e-12,1.279294689858182e-06,1.002035219024589,1731.4403938907956,1090.458419143181,3.2887087438609065e-08,3.1058475831880734e-08,1.0011171596860068e-06,2.8453422895120417e-06,5.26321366859591e-06,7.032099600995443e-07,4.8919936442881176e-06,-5.0,2.956863322319109e-06
603,prob,prob[1],"(1,)",2000,3.4843273870289755e-06,2.2444773153194126e-12,1.498157974086649e-06,1.0020203323652013,1731.4403938907956,1090.458419143181,3.8462915303872674e-08,3.6325503854685355e-08,1.1893093263114885e-06,3.356178736730379e-06,6.18119602786432e-06,1.0780590876590726e-06,5.987123040591037e-06,-4.966666666666667,3.4843273870289755e-06
604,prob,prob[2],"(2,)",2000,4.101171579630698e-06,3.0708223680927105e-12,1.7523762062105017e-06,1.0020333931667167,1731.4403938907956,1090.458419143181,4.493034469606681e-08,4.2436291205403955e-08,1.411245306096327e-06,3.954152468180686e-06,7.250898057040738e-06,1.2800796924396872e-06,7.0248557289030606e-06,-4.933333333333333,4.101171579630698e-06
605,prob,prob[3],"(3,)",2000,4.821678100806197e-06,4.191399882809056e-12,2.0472908642420733e-06,1.0020267541888583,1731.4403938907956,1090.458419143181,5.242250937200452e-08,4.9517351711570735e-08,1.672661124106908e-06,4.6532834483955645e-06,8.495889369294816e-06,1.5182008060766595e-06,8.232929611919852e-06,-4.9,4.821678100806197e-06
606,prob,prob[4],"(4,)",2000,5.662259716719755e-06,5.707263064647087e-12,2.3889878745291044e-06,1.0020314068078955,1731.4403938907956,1090.458419143181,6.109084005101465e-08,5.7712722043203934e-08,1.980209696289485e-06,5.469698289541787e-06,9.94314252495335e-06,1.7985362448578538e-06,9.637605876844756e-06,-4.866666666666667,5.662259716719755e-06
607,prob,prob[5],"(5,)",2000,6.641752165373109e-06,7.752834825300163e-12,2.7843912845180654e-06,1.0020248956995612,1731.4403938907956,1090.458419143181,7.110732636629055e-08,6.71861584141891e-08,2.341597086993028e-06,6.421921630256886e-06,1.1623482004494823e-05,2.1281730430875133e-06,1.126890424957915e-05,-4.833333333333333,6.641752165373109e-06
608,prob,prob[6],"(6,)",2000,7.78174263452077e-06,1.0506461174691327e-11,3.241367176777621e-06,1.002009597639072,1731.4403938907956,1090.458419143181,8.266702010573816e-08,7.812357383436346e-08,2.7657372717599713e-06,7.531203770648775e-06,1.3572085826440044e-05,2.5153153904679726e-06,1.316109373388535e-05,-4.8,7.78174263452077e-06
609,prob,prob[7],"(7,)",2000,9.106938144717964e-06,1.4204145282178596e-11,3.76883871798444e-06,1.002005580471221,1731.4403938907956,1090.458419143181,9.59907999284873e-08,9.073573723945935e-08,3.26292763750933e-06,8.821888456410607e-06,1.5829045008144395e-05,2.9694480057677594e-06,1.5353240129449423e-05,-4.766666666666667,9.106938144717964e-06
610,prob,prob[8],"(8,)",2000,1.0645577989162339e-05,1.9157369881879444e-11,4.376913282426263e-06,1.0020103296176133,1731.4403938907956,1090.458419143181,1.1027554660060844e-07,1.0526125701885416e-07,3.8450476782849935e-06,1.0321825032756914e-05,1.8439986442634903e-05,3.5015212738842887e-06,1.7889815826640328e-05,-4.733333333333333,1.0645577989162339e-05
611,prob,prob[9],"(9,)",2000,1.2286634822534623e-05,2.4724081223645575e-11,4.972331568152468e-06,1.0020248527112767,1731.4403938907956,1090.458419143181,1.2488035994514445e-07,1.19283539254191e-07,4.523846379450877e-06,1.1938797402799772e-05,2.1107638318925782e-05,4.126162839200806e-06,2.0489180229583617e-05,-4.7,1.2286634822534623e-05
612,prob,prob[10],"(10,)",2000,1.390095529581659e-05,2.969449915419973e-11,5.4492659280126646e-06,1.0019713957964698,1731.4403938907956,1090.458419143181,1.359892971013065e-07,1.301347123598916e-07,5.312691208054657e-06,1.3563692315627827e-05,2.3493083845063556e-05,4.8603790195822355e-06,2.2829671822859342e-05,-4.666666666666667,1.390095529581659e-05
