index,variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,y,pdf
602,prob,prob[0],"(0,)",2000,1.669626326248352e-06,7.586337437967031e-13,8.709958345461263e-07,1.0040804736221194,1244.699159028291,928.1566806804921,2.7643490430895493e-08,3.513958043071835e-08,5.160754469580133e-07,1.5175568111787187e-06,3.3220597406003837e-06,3.94265004929969e-07,3.060169858220081e-06,-5.0,1.669626326248352e-06
603,prob,prob[1],"(1,)",2000,1.974817814204377e-06,1.0468709707060892e-12,1.0231671274557686e-06,1.004075791394754,1244.699159028291,928.1566806804921,3.2433034153471525e-08,4.1098191352403445e-08,6.157784889653342e-07,1.7977785240401405e-06,3.914235468792574e-06,4.7125808919937546e-07,3.6077392227318466e-06,-4.966666666666667,1.974817814204377e-06
604,prob,prob[2],"(2,)",2000,2.3331214239396976e-06,1.4412034314760674e-12,1.2005013250621873e-06,1.0040721813276874,1244.699159028291,928.1566806804921,3.8007268686146646e-08,4.8010728469687186e-08,7.338944385855257e-07,2.127282585145679e-06,4.606639473908233e-06,5.626355534200316e-07,4.248371724620312e-06,-4.933333333333333,2.3331214239396976e-06
605,prob,prob[3],"(3,)",2000,2.7532789027296218e-06,1.9793748951183777e-12,1.4069025890652052e-06,1.0040660322440238,1244.699159028291,928.1566806804921,4.4486670054351306e-08,5.602002259462033e-08,8.736559651732934e-07,2.5142702017288477e-06,5.41525944249077e-06,6.709548447061583e-07,4.9969804256906506e-06,-4.9,2.7532789027296218e-06
606,prob,prob[4],"(4,)",2000,3.2453806245371526e-06,2.712070455931696e-12,1.6468364994533295e-06,1.0040629735578115,1244.699159028291,928.1566806804921,5.2008827500720205e-08,6.528863856579619e-08,1.0388313880839836e-06,2.9682226763434578e-06,6.3584619793756824e-06,7.992031388953791e-07,5.8707089975852395e-06,-4.866666666666667,3.2453806245371526e-06
607,prob,prob[5],"(5,)",2000,3.821058129694035e-06,3.707178574951914e-12,1.9254034836760613e-06,1.004061526353485,1244.699159028291,928.1566806804921,6.073064849950507e-08,7.60013391138116e-08,1.2338076163736729e-06,3.5000864865328227e-06,7.4573178815735e-06,9.508649423108867e-07,6.889238592322574e-06,-4.833333333333333,3.821058129694035e-06
608,prob,prob[6],"(6,)",2000,4.493701606196304e-06,5.05539566534826e-12,2.248420704705474e-06,1.004059117085753,1244.699159028291,928.1566806804921,7.083081281407359e-08,8.836781671116511e-08,1.4636849160410908e-06,4.122482681398001e-06,8.735967310175866e-06,1.1299995149459775e-06,8.07513264231588e-06,-4.8,4.493701606196304e-06
609,prob,prob[7],"(7,)",2000,5.278705145785731e-06,6.877575543378042e-12,2.622513211287608e-06,1.0040594691481122,1244.699159028291,928.1566806804921,8.251249853550647e-08,1.0262571686742844e-07,1.7343850225630164e-06,4.8499434043362545e-06,1.0222029060201468e-05,1.3413294048943051e-06,9.454223625136676e-06,-4.766666666666667,5.278705145785731e-06
610,prob,prob[8],"(8,)",2000,6.193742870571384e-06,9.334339950469732e-12,3.0552152052629177e-06,1.0040565208907866,1244.699159028291,928.1566806804921,9.600640440987185e-08,1.1904397759628475e-07,2.0527742844351547e-06,5.6991786177152755e-06,1.1947058469899359e-05,1.5903415312064757e-06,1.1056046162658796e-05,-4.733333333333333,6.193742870571384e-06
611,prob,prob[9],"(9,)",2000,7.213012178598354e-06,1.2230261101709403e-11,3.497179020540613e-06,1.00406241503375,1244.699159028291,928.1566806804921,1.0956425464940846e-07,1.3486870641119228e-07,2.440478317368223e-06,6.660565595554332e-06,1.3782807274593508e-05,1.8985819658509886e-06,1.2772478558044892e-05,-4.7,7.213012178598354e-06
612,prob,prob[10],"(10,)",2000,8.305557125429923e-06,1.5140206159236825e-11,3.891041783280774e-06,1.004033250490552,1244.699159028291,928.1566806804921,1.2117577252017915e-07,1.470526191752996e-07,2.923962849491453e-06,7.721364885215348e-06,1.557909753792544e-05,2.5292757391633773e-06,1.4705269590196398e-05,-4.666666666666667,8.305557125429923e-06
613,prob,prob[11],"(11,)",2000,9.53154617341974e-06,1.841753473356856e-11,4.291565534110898e-06,1.0040025619625648,1244.699159028291,928.1566806804921,1.3272997436349523e-07,1.5852710946726422e-07,3.5058632771331915e-06,8.92639783929489e-06,1.750556543204226e-05,3.0484410267329726e-06,1.6563597827092474e-05,-4.633333333333334,9.53154617341974e-06
