pdf_hat,low,high,r,data_type,data_seed,model,ntrain,ntest,fit_seconds,job,run,mcmc_strategy,apply_jitter
0.01542605397893218,0.01059283884339602,0.02070452149732585,-2.550335570469799,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.01763512057621882,0.01218617888982139,0.02348664320119611,-2.496644295302014,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.02010461718428485,0.01397493484338742,0.02662263500653969,-2.442953020134228,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.02285658271899193,0.0160327987860086,0.03009762251517438,-2.3892617449664435,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.02591345225485462,0.01830183565821502,0.03394406326967936,-2.3355704697986575,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.02929660098954563,0.02086691117386364,0.03811023913029126,-2.2818791946308723,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.03302974434185966,0.02375299043750439,0.04277207873963509,-2.228187919463087,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.03713684219710359,0.02695029313910031,0.04779140056242872,-2.174496644295302,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.04163866042646239,0.03042569796289958,0.05315803791739251,-2.120805369127517,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.04655640091903999,0.03433886134881341,0.0590198121066792,-2.0671140939597317,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.05190933201332402,0.0386803650938281,0.06536964891367794,-2.0134228187919465,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.0577182025605978,0.04339254097732305,0.07222405526954805,-1.959731543624161,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.06400308737336328,0.04858319870507338,0.07964934275814844,-1.906040268456376,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.07078087717429929,0.05422353353334262,0.0875702494366272,-1.8523489932885904,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.07806517741153564,0.06031667411585228,0.09585573325676916,-1.7986577181208057,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.08586292976818576,0.06706094783918529,0.10487365512240145,-1.74496644295302,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.094181222593595,0.07422978590310078,0.11428723056908796,-1.6912751677852351,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.10302212883988844,0.08171712117249288,0.12440531828469906,-1.6375838926174495,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.1123843203284636,0.08974738481961335,0.13478071521085846,-1.5838926174496644,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.1222560248611832,0.09843888092383496,0.1458119185349083,-1.5302013422818792,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.1326236793668723,0.10779727178208114,0.15717922105537202,-1.476510067114094,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.14346883861357773,0.11768813824075136,0.16883800099994994,-1.422818791946309,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.15476444595644523,0.12787038119463254,0.18107525278058675,-1.3691275167785235,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.16648144901349132,0.13847194496701393,0.1937869718681196,-1.3154362416107384,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.17858231501525065,0.1496759240868934,0.20674151217691003,-1.2617449664429528,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.1910166331791706,0.16164510268126583,0.2200174639778208,-1.208053691275168,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.20373333219272025,0.17365338549025208,0.23347820679838707,-1.1543624161073824,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.21668095549183183,0.18573862449376677,0.24712904793676463,-1.1006711409395975,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.22981348719981612,0.1983429429723982,0.26080890230080367,-1.046979865771812,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.2430609940705266,0.2111936814884794,0.27441632620869827,-0.9932885906040269,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.2563525091163384,0.2243153963641545,0.2882399465297433,-0.9395973154362416,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.26961279179846515,0.2377980407546395,0.302079377053197,-0.8859060402684564,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.2827552735371875,0.2510948320878886,0.315358071819435,-0.8322147651006713,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.29567692877096424,0.2636635363411594,0.3289862132906363,-0.7785234899328861,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.30828355625426485,0.2760636650945868,0.3423311125414616,-0.724832214765101,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.32047582882097075,0.2884903574048945,0.35483544471568684,-0.6711409395973151,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.3321599091647454,0.30050579262037674,0.3673538201198221,-0.6174496644295304,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.34324221245571973,0.3119607936729256,0.3789772983069984,-0.5637583892617448,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.3536189092315747,0.3221033837357868,0.38989225614564493,-0.5100671140939601,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.36318789097056065,0.331716269283558,0.40098529596806376,-0.4563758389261745,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.371864041803647,0.3406983008175517,0.4098185480442472,-0.4026845637583891,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
0.3795683984081275,0.3487182826687251,0.4182183461972694,-0.34899328859060397,gaussian,1,ptm-iwls-nuts,250,5000,557.9738745689392,010-ptm-plots,20250907-175606,iwls-nuts,FALSE
