kernel,error_code,error_msg,phase,count,relative,data_type,data_seed,model,ntrain,ntest,job,run,index,mcmc_strategy,apply_jitter
kernel_00,2,maximum tree depth,posterior,3045,0.1522500067949295,gaussian,3,bctm-locshift,500,5000,004-bctm-locshift,20250904-083911,NA,NA,NA
kernel_00,1,divergent transition,warmup,99,0.00494999997317791,gaussian,4,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093330,NA,NA,NA
kernel_00,1,divergent transition,posterior,15,7.5000000651925e-4,gaussian,4,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093330,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2701,0.1350499987602234,gaussian,4,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093330,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2651,0.13255000114440918,gaussian,4,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093330,NA,NA,NA
kernel_00,1,divergent transition,warmup,114,0.0056999996304512,gaussian,4,bctm-locshift,250,5000,004-bctm-locshift,20250904-090359,NA,NA,NA
kernel_00,1,divergent transition,posterior,31,0.00155000004451721,gaussian,4,bctm-locshift,250,5000,004-bctm-locshift,20250904-090359,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3698,0.18490000069141388,gaussian,4,bctm-locshift,250,5000,004-bctm-locshift,20250904-090359,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3141,0.1570499986410141,gaussian,4,bctm-locshift,250,5000,004-bctm-locshift,20250904-090359,NA,NA,NA
kernel_00,1,divergent transition,warmup,106,0.00529999984428286,gaussian,4,bctm-locshift,500,5000,004-bctm-locshift,20250904-090155,NA,NA,NA
kernel_00,1,divergent transition,posterior,25,0.00124999997206032,gaussian,4,bctm-locshift,500,5000,004-bctm-locshift,20250904-090155,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3509,0.17544999718666077,gaussian,4,bctm-locshift,500,5000,004-bctm-locshift,20250904-090155,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3014,0.1507000029087067,gaussian,4,bctm-locshift,500,5000,004-bctm-locshift,20250904-090155,NA,NA,NA
kernel_00,1,divergent transition,warmup,118,0.00589999975636601,gaussian,5,bctm-locshift,1000,5000,004-bctm-locshift,20250904-091831,NA,NA,NA
kernel_00,1,divergent transition,posterior,17,8.4999995306134e-4,gaussian,5,bctm-locshift,1000,5000,004-bctm-locshift,20250904-091831,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3495,0.17475000023841858,gaussian,5,bctm-locshift,1000,5000,004-bctm-locshift,20250904-091831,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3430,0.17149999737739563,gaussian,5,bctm-locshift,1000,5000,004-bctm-locshift,20250904-091831,NA,NA,NA
kernel_00,1,divergent transition,warmup,149,0.00744999991729855,gaussian,5,bctm-locshift,250,5000,004-bctm-locshift,20250904-085737,NA,NA,NA
kernel_00,1,divergent transition,posterior,124,0.00620000017806887,gaussian,5,bctm-locshift,250,5000,004-bctm-locshift,20250904-085737,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4996,0.24979999661445615,gaussian,5,bctm-locshift,250,5000,004-bctm-locshift,20250904-085737,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,4035,0.2017499953508377,gaussian,5,bctm-locshift,250,5000,004-bctm-locshift,20250904-085737,NA,NA,NA
kernel_00,1,divergent transition,warmup,119,0.00594999967142939,gaussian,5,bctm-locshift,500,5000,004-bctm-locshift,20250904-091041,NA,NA,NA
kernel_00,1,divergent transition,posterior,63,0.00315000000409781,gaussian,5,bctm-locshift,500,5000,004-bctm-locshift,20250904-091041,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4483,0.2241500020027161,gaussian,5,bctm-locshift,500,5000,004-bctm-locshift,20250904-091041,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3997,0.19984999299049375,gaussian,5,bctm-locshift,500,5000,004-bctm-locshift,20250904-091041,NA,NA,NA
kernel_00,1,divergent transition,warmup,157,0.00785000063478946,gaussian,6,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093439,NA,NA,NA
kernel_00,1,divergent transition,posterior,279,0.01394999958574771,gaussian,6,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093439,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3705,0.18525001406669617,gaussian,6,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093439,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2714,0.13570000231266022,gaussian,6,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093439,NA,NA,NA
kernel_00,1,divergent transition,warmup,180,0.0089999996125698,gaussian,6,bctm-locshift,250,5000,004-bctm-locshift,20250904-092321,NA,NA,NA
kernel_00,1,divergent transition,posterior,202,0.01009999960660934,gaussian,6,bctm-locshift,250,5000,004-bctm-locshift,20250904-092321,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3482,0.17409999668598175,gaussian,6,bctm-locshift,250,5000,004-bctm-locshift,20250904-092321,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2242,0.11209999769926073,gaussian,6,bctm-locshift,250,5000,004-bctm-locshift,20250904-092321,NA,NA,NA
kernel_00,1,divergent transition,warmup,172,0.00860000029206276,gaussian,6,bctm-locshift,500,5000,004-bctm-locshift,20250904-093029,NA,NA,NA
kernel_00,1,divergent transition,posterior,250,0.01249999925494194,gaussian,6,bctm-locshift,500,5000,004-bctm-locshift,20250904-093029,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3148,0.1574000120162964,gaussian,6,bctm-locshift,500,5000,004-bctm-locshift,20250904-093029,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,1974,0.09870000183582306,gaussian,6,bctm-locshift,500,5000,004-bctm-locshift,20250904-093029,NA,NA,NA
kernel_00,1,divergent transition,warmup,82,0.00410000002011656,gaussian,7,bctm-locshift,1000,5000,004-bctm-locshift,20250904-095106,NA,NA,NA
kernel_00,1,divergent transition,posterior,23,0.00115000002551823,gaussian,7,bctm-locshift,1000,5000,004-bctm-locshift,20250904-095106,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2021,0.10105000436306,gaussian,7,bctm-locshift,1000,5000,004-bctm-locshift,20250904-095106,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,1977,0.09884999692440032,gaussian,7,bctm-locshift,1000,5000,004-bctm-locshift,20250904-095106,NA,NA,NA
kernel_00,1,divergent transition,warmup,106,0.00530000030994415,gaussian,7,bctm-locshift,250,5000,004-bctm-locshift,20250904-093846,NA,NA,NA
kernel_00,1,divergent transition,posterior,97,0.00485000014305114,gaussian,7,bctm-locshift,250,5000,004-bctm-locshift,20250904-093846,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4436,0.22179999947547913,gaussian,7,bctm-locshift,250,5000,004-bctm-locshift,20250904-093846,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3664,0.18320000171661377,gaussian,7,bctm-locshift,250,5000,004-bctm-locshift,20250904-093846,NA,NA,NA
kernel_00,1,divergent transition,warmup,83,0.00414999993517994,gaussian,7,bctm-locshift,500,5000,004-bctm-locshift,20250904-100931,NA,NA,NA
kernel_00,1,divergent transition,posterior,62,0.00309999985620379,gaussian,7,bctm-locshift,500,5000,004-bctm-locshift,20250904-100931,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2970,0.148499995470047,gaussian,7,bctm-locshift,500,5000,004-bctm-locshift,20250904-100931,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2551,0.12755000591278076,gaussian,7,bctm-locshift,500,5000,004-bctm-locshift,20250904-100931,NA,NA,NA
kernel_00,1,divergent transition,warmup,106,0.00529999984428286,gaussian,8,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093047,NA,NA,NA
kernel_00,1,divergent transition,posterior,23,0.00114999990910291,gaussian,8,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093047,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2964,0.14820000529289246,gaussian,8,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093047,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2559,0.1279499977827072,gaussian,8,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093047,NA,NA,NA
kernel_00,1,divergent transition,warmup,145,0.00724999979138374,gaussian,8,bctm-locshift,250,5000,004-bctm-locshift,20250904-100102,NA,NA,NA
kernel_00,1,divergent transition,posterior,100,0.00500000035390257,gaussian,8,bctm-locshift,250,5000,004-bctm-locshift,20250904-100102,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,5088,0.25440001487731934,gaussian,8,bctm-locshift,250,5000,004-bctm-locshift,20250904-100102,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,4273,0.21365000307559967,gaussian,8,bctm-locshift,250,5000,004-bctm-locshift,20250904-100102,NA,NA,NA
kernel_00,1,divergent transition,warmup,110,0.00549999997019767,gaussian,8,bctm-locshift,500,5000,004-bctm-locshift,20250904-092357,NA,NA,NA
kernel_00,1,divergent transition,posterior,49,0.00245000002905726,gaussian,8,bctm-locshift,500,5000,004-bctm-locshift,20250904-092357,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3992,0.1995999962091446,gaussian,8,bctm-locshift,500,5000,004-bctm-locshift,20250904-092357,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3056,0.15279999375343323,gaussian,8,bctm-locshift,500,5000,004-bctm-locshift,20250904-092357,NA,NA,NA
kernel_00,1,divergent transition,warmup,91,0.00454999972134828,gaussian,9,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085247,NA,NA,NA
kernel_00,1,divergent transition,posterior,18,8.9999998454004e-4,gaussian,9,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085247,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2088,0.10440000146627426,gaussian,9,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085247,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2106,0.10529999434947968,gaussian,9,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085247,NA,NA,NA
kernel_00,1,divergent transition,warmup,134,0.00670000026002526,gaussian,9,bctm-locshift,250,5000,004-bctm-locshift,20250904-093828,NA,NA,NA
kernel_00,1,divergent transition,posterior,65,0.00325000006705522,gaussian,9,bctm-locshift,250,5000,004-bctm-locshift,20250904-093828,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3206,0.16030000150203705,gaussian,9,bctm-locshift,250,5000,004-bctm-locshift,20250904-093828,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2365,0.11824999749660492,gaussian,9,bctm-locshift,250,5000,004-bctm-locshift,20250904-093828,NA,NA,NA
kernel_00,1,divergent transition,warmup,91,0.00454999972134828,gaussian,9,bctm-locshift,500,5000,004-bctm-locshift,20250904-104240,NA,NA,NA
kernel_00,1,divergent transition,posterior,44,0.00219999998807907,gaussian,9,bctm-locshift,500,5000,004-bctm-locshift,20250904-104240,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2543,0.12714999914169312,gaussian,9,bctm-locshift,500,5000,004-bctm-locshift,20250904-104240,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2158,0.1078999936580658,gaussian,9,bctm-locshift,500,5000,004-bctm-locshift,20250904-104240,NA,NA,NA
kernel_00,1,divergent transition,warmup,89,0.00444999989122152,gaussian,10,bctm-locshift,1000,5000,004-bctm-locshift,20250904-092841,NA,NA,NA
kernel_00,1,divergent transition,posterior,81,0.00405000010505318,gaussian,10,bctm-locshift,1000,5000,004-bctm-locshift,20250904-092841,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2034,0.10170000046491624,gaussian,10,bctm-locshift,1000,5000,004-bctm-locshift,20250904-092841,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2594,0.12970000505447388,gaussian,10,bctm-locshift,1000,5000,004-bctm-locshift,20250904-092841,NA,NA,NA
kernel_00,1,divergent transition,warmup,137,0.00684999953955411,gaussian,10,bctm-locshift,250,5000,004-bctm-locshift,20250904-100243,NA,NA,NA
kernel_00,1,divergent transition,posterior,260,0.0130000002682209,gaussian,10,bctm-locshift,250,5000,004-bctm-locshift,20250904-100243,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4422,0.22110000252723697,gaussian,10,bctm-locshift,250,5000,004-bctm-locshift,20250904-100243,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3711,0.1855500042438507,gaussian,10,bctm-locshift,250,5000,004-bctm-locshift,20250904-100243,NA,NA,NA
kernel_00,1,divergent transition,warmup,98,0.00490000005811452,gaussian,10,bctm-locshift,500,5000,004-bctm-locshift,20250904-093251,NA,NA,NA
kernel_00,1,divergent transition,posterior,58,0.00290000019595026,gaussian,10,bctm-locshift,500,5000,004-bctm-locshift,20250904-093251,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3144,0.15720000863075256,gaussian,10,bctm-locshift,500,5000,004-bctm-locshift,20250904-093251,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2369,0.11845000088214874,gaussian,10,bctm-locshift,500,5000,004-bctm-locshift,20250904-093251,NA,NA,NA
kernel_00,1,divergent transition,warmup,102,0.00510000018402934,gaussian,11,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093926,NA,NA,NA
kernel_00,1,divergent transition,posterior,44,0.00219999998807907,gaussian,11,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093926,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,1768,0.08840000629425049,gaussian,11,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093926,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,1926,0.09630000591278076,gaussian,11,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093926,NA,NA,NA
kernel_00,1,divergent transition,warmup,127,0.0063500003889203,gaussian,11,bctm-locshift,250,5000,004-bctm-locshift,20250904-094521,NA,NA,NA
kernel_00,1,divergent transition,posterior,105,0.00524999992921948,gaussian,11,bctm-locshift,250,5000,004-bctm-locshift,20250904-094521,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3732,0.186599999666214,gaussian,11,bctm-locshift,250,5000,004-bctm-locshift,20250904-094521,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2776,0.1388000100851059,gaussian,11,bctm-locshift,250,5000,004-bctm-locshift,20250904-094521,NA,NA,NA
kernel_00,1,divergent transition,warmup,119,0.00595000013709068,gaussian,11,bctm-locshift,500,5000,004-bctm-locshift,20250904-091730,NA,NA,NA
kernel_00,1,divergent transition,posterior,57,0.00285000004805624,gaussian,11,bctm-locshift,500,5000,004-bctm-locshift,20250904-091730,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3017,0.15085001289844513,gaussian,11,bctm-locshift,500,5000,004-bctm-locshift,20250904-091730,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2773,0.13865000009536743,gaussian,11,bctm-locshift,500,5000,004-bctm-locshift,20250904-091730,NA,NA,NA
kernel_00,1,divergent transition,warmup,129,0.00644999975338578,gaussian,12,bctm-locshift,1000,5000,004-bctm-locshift,20250904-100428,NA,NA,NA
