xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
2,7.216449660063518e-18,0.01951763196842957,0.02573502901965321,1,0.44651211365120175,scale,gaussian,2,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101156,iwls-nuts,FALSE,1,0.005
3,-2.886579864025407e-18,0.01728369859566517,0.0283579183208272,1,0.4203871124118499,scale,gaussian,2,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101156,iwls-nuts,FALSE,1,0.005
0,-1.1102230246251566e-18,0.01616444594807894,0.03512409789797683,0.85800004,0.4069669785900887,loc,gaussian,2,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
1,-7.327471962526034e-18,0.0178670952477335,0.03021888703087373,0.90000004,0.4207951824073852,loc,gaussian,2,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
2,-7.016609515630991e-17,0.05187354870237293,0.1256387668792105,0.9480001,0.7106657815672799,loc,gaussian,2,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
3,-7.677192215282958e-17,0.03248840494885521,0.04377020941281428,1,0.575195032175584,loc,gaussian,2,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
0,2.7755575615628915e-18,0.00788330849399826,0.00933611834350932,1,0.2857157697417588,scale,gaussian,2,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
1,-1.466882171285988e-17,0.00769399335268368,0.00916486788073762,1,0.28241808808255375,scale,gaussian,2,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
2,6.189493362285248e-18,0.01000997614471464,0.01188399653602071,1,0.3196793852310758,scale,gaussian,2,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
3,-3.441691376337985e-18,0.00845559660165987,0.01105517950362521,1,0.2948113894165218,scale,gaussian,2,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101529,iwls-nuts,FALSE,1,0.005
0,-4.890532423473814e-17,0.04129491510634928,0.0669081142983872,0.92,0.6418496116087892,loc,gaussian,3,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
1,-7.682743330406084e-17,0.04137728529868282,0.139188504879945,0.716,0.6323348659269135,loc,gaussian,3,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
2,-3.053113317719181e-17,0.10623403429523053,0.2167254460877862,0.966,1.0064511039132713,loc,gaussian,3,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
3,-1.3500311979441903e-16,0.05633476723227354,0.09916694742767997,0.92200005,0.761528348430241,loc,gaussian,3,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
0,3.1641356201816963e-18,0.02373875210699528,0.03132535172631477,1,0.4902758443128008,scale,gaussian,3,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
1,-2.2204460492503127e-18,0.02160019168742404,0.02888259098325223,1,0.470663848014938,scale,gaussian,3,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
2,4.4408920985006255e-18,0.0259313390921232,0.05064184484855367,0.89400005,0.5135237430964106,scale,gaussian,3,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
