variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
s(x0)_variance,9841.228630448875,9841.228630448875,12906.220304502416,12906.220304502416,1.000190689726851,1.000190689726851,1715.480118378824,2249.7561196056804,1715.480118378824,2249.7561196056804,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
s(x1)_coef,14628.43666116986,17331.24791683308,14967.27744616698,17790.93295803041,1.000312563337696,1.0000943000207665,2549.9653750099064,2609.030625070246,3021.107662922516,3101.2379574723545,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
s(x1)_variance,10904.049458031202,10904.049458031202,12555.229812723808,12555.229812723808,1.000079906053133,1.000079906053133,1900.7464166817877,2188.57298556861,1900.7464166817877,2188.57298556861,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
s(x2)_coef,16590.281506453506,17493.508697065234,18510.366405089037,18907.457188188768,1.0003092640623004,1.0000721575361862,2891.945625018037,3226.6464629822526,3049.3922555210115,3295.8655990453476,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
s(x2)_variance,19814.95905406268,19814.95905406268,19468.13672759996,19468.13672759996,1.0000869249613378,1.0000869249613378,3454.057372324715,3393.600814714027,3454.057372324715,3393.600814714027,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
s(x3)_coef,15742.582007800373,17089.106708310585,17502.101755635642,18553.73925422116,1.0003308194720897,1.0000420838947528,2744.178339965864,3050.890160070042,2978.8986619269144,3234.207029163328,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
s(x3)_variance,14381.252163186884,14381.252163186884,17470.780680540014,17470.780680540014,1.0004454522037398,1.0004454522037398,2506.877249758019,3045.430406656067,2506.877249758019,3045.430406656067,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
scale_intercept,19725.905209992576,19725.905209992576,20323.02916235547,20323.02916235547,0.9998976435594328,0.9998976435594328,3438.5338940371767,3542.621941063842,3438.5338940371767,3542.621941063842,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
g(x0)_coef,10172.053314150678,17132.72521039313,12460.322006133454,15463.666869491752,1.0004100554694055,1.0001392881698052,2835.475880881575,3473.3343824750996,4775.774134044402,4310.521492984564,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
g(x0)_variance,7322.346245221776,7322.346245221776,9351.026494012389,9351.026494012389,1.0002675117141309,1.0002675117141309,2041.1155475273551,2606.6133617655523,2041.1155475273551,2606.6133617655523,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
g(x1)_coef,9698.608924594018,17163.34520699487,14765.822958806582,16903.169690392693,1.0004470069725306,1.0001269847865626,2703.502511683923,4115.996403874461,4784.3095063193505,4711.785171326424,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
g(x1)_variance,9638.75304172288,9638.75304172288,13251.52883967812,13251.52883967812,1.0001401196962272,1.0001401196962272,2686.8175900689444,3693.884533365839,2686.8175900689444,3693.884533365839,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
g(x2)_coef,4881.487576378318,14444.189841260595,10044.427549361451,14806.657348325609,1.000384248633578,1.000130486387247,1360.7223495760325,2799.8999979538394,4026.340665831317,4127.379054261345,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
g(x2)_variance,4463.365201193364,4463.365201193364,8536.426592393685,8536.426592393685,1.0005909687539607,1.0005909687539607,1244.1700790089324,2379.5423563083623,1244.1700790089324,2379.5423563083623,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
g(x3)_coef,11209.852547581097,16617.933272425416,14526.845809952803,16253.379797549587,1.0005278811393197,1.000118127918474,3124.764051589029,4049.3811472758666,4632.275070610558,4530.655215368158,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
g(x3)_variance,7887.4140883917025,7887.4140883917025,12005.893776464818,12005.893776464818,1.0002263295695784,1.0002263295695784,2198.6290987138377,3346.6617977940273,2198.6290987138377,3346.6617977940273,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
loc_intercept,11760.323761324147,11760.323761324147,15138.950476870865,15138.950476870865,1.000021734792501,1.000021734792501,3278.208769335118,4220.006287158563,3278.208769335118,4220.006287158563,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
s(x0)_coef,9321.847002813529,17427.727098766638,11166.268550028297,15923.926168330518,1.00051884628905,1.0001928942648688,2598.4795326402505,3112.614943632482,4858.006375015254,4438.819497379928,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
s(x0)_variance,6462.273387793836,6462.273387793836,10172.442181608272,10172.442181608272,1.0005510533375714,1.0005510533375714,1801.3688840247917,2835.5842782977916,1801.3688840247917,2835.5842782977916,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
s(x1)_coef,12266.639627679137,17056.78063499671,15222.001041679636,17095.916962421954,1.0004025893323536,1.0000972973647508,3419.3451144582855,4243.156762892038,4754.604464050559,4765.51377695459,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
s(x1)_variance,9587.74174979826,9587.74174979826,11548.998167573844,11548.998167573844,1.0001304643516995,1.0001304643516995,2672.5981121093027,3219.3014272689516,2672.5981121093027,3219.3014272689516,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
s(x2)_coef,14102.396062884074,16112.069856750257,17314.61956628622,18266.920807470673,1.0002831830745054,1.0000719803873788,3931.0651118314377,4826.477472207784,4491.26484682694,5091.932942929288,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
s(x2)_variance,15455.500431848965,15455.500431848965,17787.31045401232,17787.31045401232,1.0002125580495738,1.0002125580495738,4308.245085630639,4958.240801583508,4308.245085630639,4958.240801583508,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
s(x3)_coef,13294.510958469102,15389.753536818484,17099.154177650136,17994.53423011611,1.000346758280856,1.0000851900959382,3705.865866669654,4766.416155797608,4289.9180350987235,5016.00475552092,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
s(x3)_variance,13907.736884210575,13907.736884210575,16932.25523780752,16932.25523780752,1.000173800359653,1.000173800359653,3876.803559215204,4719.892813473978,3876.803559215204,4719.892813473978,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
scale_intercept,15722.06471061202,15722.06471061202,18700.38896904076,18700.38896904076,1.0000389121858697,1.0000389121858697,4382.550298137318,5212.762875618712,4382.550298137318,5212.762875618712,gaussian,1,gaussian-iwls,250,5000,007-gaussian,20250831-000940,NA,NA,NA,NA,NA
g(x0)_coef,12936.198117351692,16485.097258891863,15380.225969754893,16875.887241006338,1.0003362829556903,1.000088063510608,3138.3095976554737,3731.228475099544,3999.269219328837,4094.0745044993255,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
g(x0)_variance,8822.54495298753,8822.54495298753,12241.800200250174,12241.800200250174,1.0000527213488233,1.0000527213488233,2140.34117679205,2969.849310632767,2140.34117679205,2969.849310632767,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
g(x1)_coef,13975.431294695609,17401.067115006597,15283.128202887896,17256.897618387295,1.00040049100345,1.0000822171262465,3390.4265971845507,3707.672647420863,4221.482652095625,4186.507266682917,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
g(x1)_variance,9579.895013359292,9579.895013359292,12100.002447804682,12100.002447804682,1.0001731727638088,1.0001731727638088,2324.0735950565468,2935.4493081444957,2324.0735950565468,2935.4493081444957,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
g(x2)_coef,12254.6999038409,16493.09895845573,15557.039362933294,17497.720967153044,1.0002454403844614,1.0000922823560967,2972.9787666923016,3774.1232393704704,4001.210424179832,4244.93078647714,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
g(x2)_variance,8689.670521695496,8689.670521695496,13582.356303112909,13582.356303112909,1.0005546571096111,1.0005546571096111,2108.105963692811,3295.0669708483024,2108.105963692811,3295.0669708483024,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
g(x3)_coef,9582.269233963118,15629.582227274586,14954.3908769582,16429.17056088115,1.0003798008140692,1.0000706872642295,2324.649578760595,3627.921278764183,3791.7220705988143,3985.701454554364,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
g(x3)_variance,6901.969279386989,6901.969279386989,12078.792821401676,12078.792821401676,1.0002162237430432,1.0002162237430432,1674.4113097007653,2930.303872561382,1674.4113097007653,2930.303872561382,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
loc_intercept,12232.741800768928,12232.741800768928,16311.443312653038,16311.443312653038,1.0002269540231823,1.0002269540231823,2967.651751367401,3957.14093393863,2967.651751367401,3957.14093393863,gaussian,1,gaussian-iwls,500,5000,007-gaussian,20250831-001030,NA,NA,NA,NA,NA
