waic,kld,log_score,cdf_mad,crps,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,run,job,kld_manual,log_score_manual,bootstrap_seconds,mcmc_strategy,apply_jitter
3667.571728238669,0.09890119286453748,1799.5626548545374,0.07500224847476686,0.8258381450772151,0.788,0.19140429354103067,gaussian,1,ddpstar,1000,1000,435.365,20250815-070342,001-ddpstar,NA,NA,NA,NA,NA
953.8879777126552,0.17643079597067635,1877.0922579606763,0.11575249023717228,0.8947896328991898,0.829,0.3150160732029768,gaussian,1,ddpstar,250,1000,280.844,20250815-070119,001-ddpstar,NA,NA,NA,NA,NA
1887.6836755888412,0.15099400987477923,1851.6554718647792,0.09802752849378676,0.8643980422533986,0.787,0.25046794033817943,gaussian,1,ddpstar,500,1000,332.682,20250815-070205,001-ddpstar,NA,NA,NA,NA,NA
3550.0332528318436,0.09028501007525708,1789.011389125257,0.07246060125352069,0.8233243829530981,0.747,0.18350212223327575,gaussian,2,ddpstar,1000,1000,439.454,20250815-071827,001-ddpstar,NA,NA,NA,NA,NA
985.9745181785688,0.21513010350655695,1913.856482556557,0.11982544488808212,0.9126588811362032,0.771,0.31860692070740876,gaussian,2,ddpstar,250,1000,277.42400000000004,20250815-081825,001-ddpstar,NA,NA,NA,NA,NA
1877.6134087253863,0.18398243775230105,1882.708816802301,0.10644493112969264,0.875359208536033,0.66,0.2391204685004889,gaussian,2,ddpstar,500,1000,335.804,20250815-071648,001-ddpstar,NA,NA,NA,NA,NA
3489.380425073271,0.11555952352137736,1797.1009556313777,0.06738462561474476,0.8180028375131604,0.8,0.18195776928468196,gaussian,3,ddpstar,1000,1000,434.794,20250815-071829,001-ddpstar,NA,NA,NA,NA,NA
933.419604490526,0.21708340459164552,1898.6248367016456,0.12052157208330636,0.9004060841919417,0.751,0.30201924028275084,gaussian,3,ddpstar,250,1000,275.07800000000003,20250815-083253,001-ddpstar,NA,NA,NA,NA,NA
1813.4539336440396,0.1316845120055971,1813.225944115597,0.08548533023680484,0.8484720305147337,0.862,0.2435622963887157,gaussian,3,ddpstar,500,1000,329.114,20250815-071927,001-ddpstar,NA,NA,NA,NA,NA
3517.4302150584012,0.09419761810500796,1754.828332105008,0.06820008563717142,0.7946039480202385,0.85,0.1877815630693104,gaussian,4,ddpstar,1000,1000,441.29,20250815-075531,001-ddpstar,NA,NA,NA,NA,NA
924.8142077135102,0.18999442350362744,1850.6251375036277,0.11126690356519334,0.8665051043815282,0.829,0.3100641707386977,gaussian,4,ddpstar,250,1000,279.759,20250815-071830,001-ddpstar,NA,NA,NA,NA,NA
1774.8968438896643,0.11477698788143809,1775.407701881438,0.08633208568532047,0.824051423255142,0.881,0.2462143441382475,gaussian,4,ddpstar,500,1000,327.66200000000003,20250815-074842,001-ddpstar,NA,NA,NA,NA,NA
3621.8754792753807,0.08775042891198583,1827.713806621986,0.06987177217444135,0.8638539687411056,0.844,0.19315217986471508,gaussian,5,ddpstar,1000,1000,433.61,20250815-082249,001-ddpstar,NA,NA,NA,NA,NA
933.4842084931704,0.1730461394488479,1913.009517158848,0.11477261169540412,0.9277965337382124,0.798,0.30283437858600293,gaussian,5,ddpstar,250,1000,278.644,20250815-073359,001-ddpstar,NA,NA,NA,NA,NA
1845.2256691461555,0.17890018528157323,1918.8635629915732,0.1022697624421426,0.9154189342719588,0.702,0.23308149416134433,gaussian,5,ddpstar,500,1000,333.842,20250815-073502,001-ddpstar,NA,NA,NA,NA,NA
