xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,run,job,mcmc_strategy,apply_jitter
3,-1.1630429872939071e-17,0.00587407630670715,0.02855377092231247,0.482,0.24477221892528875,scale,gaussian,2,ddpstar,1000,1000,20250815-071827,001-ddpstar,NA,NA
0,-1.944986937937081e-17,0.0278678938471815,0.02786192653476816,1,0.5251311767297886,loc,gaussian,2,ddpstar,250,1000,20250815-081825,001-ddpstar,NA,NA
1,6.7496148373116096e-18,0.04874848933464808,0.07703355792884885,0.901,0.694897553483997,loc,gaussian,2,ddpstar,250,1000,20250815-081825,001-ddpstar,NA,NA
2,-9.439891865877419e-17,0.12893801971690358,0.21015492315582943,0.932,1.1288374679425703,loc,gaussian,2,ddpstar,250,1000,20250815-081825,001-ddpstar,NA,NA
3,6.6014746475986e-17,0.09496735905495164,0.1613863329401054,0.931,0.9840595574169082,loc,gaussian,2,ddpstar,250,1000,20250815-081825,001-ddpstar,NA,NA
0,1.0801453590066068e-18,7.111997219990716e-32,0.01317257765477852,0,8.352513125586824e-16,scale,gaussian,2,ddpstar,250,1000,20250815-081825,001-ddpstar,NA,NA
1,-2.4046971734461204e-20,1.6650358958662667e-31,0.02019582823906476,0,1.230693325027232e-15,scale,gaussian,2,ddpstar,250,1000,20250815-081825,001-ddpstar,NA,NA
2,1.4381219016571887e-18,1.5966972752063422e-31,0.08436869170906498,0,1.094083157404668e-15,scale,gaussian,2,ddpstar,250,1000,20250815-081825,001-ddpstar,NA,NA
3,-1.382360766156897e-17,2.2700230855721667e-32,0.04746552327902951,0,3.956696081885978e-16,scale,gaussian,2,ddpstar,250,1000,20250815-081825,001-ddpstar,NA,NA
0,-1.677094073786074e-17,0.01362277708335675,0.02557542310933711,0.924,0.3673397931978633,loc,gaussian,2,ddpstar,500,1000,20250815-071648,001-ddpstar,NA,NA
1,-6.792990468451147e-18,0.02069927504085057,0.03450581171583571,1,0.4600724059152545,loc,gaussian,2,ddpstar,500,1000,20250815-071648,001-ddpstar,NA,NA
2,-8.304128399095242e-17,0.05792900777678736,0.15381361451692707,0.884,0.7663497382523675,loc,gaussian,2,ddpstar,500,1000,20250815-071648,001-ddpstar,NA,NA
3,6.545661103346418e-17,0.04359943487734928,0.07063212291120281,0.958,0.6605560433435789,loc,gaussian,2,ddpstar,500,1000,20250815-071648,001-ddpstar,NA,NA
0,5.14653930005123e-18,0.00131604188248595,0.00567203778507183,0.51,0.10782858280330196,scale,gaussian,2,ddpstar,500,1000,20250815-071648,001-ddpstar,NA,NA
1,-5.427719363369775e-18,0.00244497305562044,0.02399066976106299,0.197,0.1495830786077064,scale,gaussian,2,ddpstar,500,1000,20250815-071648,001-ddpstar,NA,NA
2,2.618890347638735e-18,0.00372733057125418,0.04467693597009723,0.379,0.1933950535702486,scale,gaussian,2,ddpstar,500,1000,20250815-071648,001-ddpstar,NA,NA
3,-1.592336446979275e-17,0.00310084549170769,0.04619635016459519,0.164,0.1724158234746441,scale,gaussian,2,ddpstar,500,1000,20250815-071648,001-ddpstar,NA,NA
0,5.031707770710922e-17,0.00612884397382419,0.00703150332804175,1,0.2446846563454392,loc,gaussian,3,ddpstar,1000,1000,20250815-071829,001-ddpstar,NA,NA
1,9.51164819650019e-18,0.01005985671253334,0.03259792337106257,0.85,0.309437739252132,loc,gaussian,3,ddpstar,1000,1000,20250815-071829,001-ddpstar,NA,NA
2,-7.503943080066292e-17,0.0243669796362354,0.04238278747299376,0.935,0.4926700232394981,loc,gaussian,3,ddpstar,1000,1000,20250815-071829,001-ddpstar,NA,NA
3,3.3600722460287435e-17,0.01760063475048652,0.03676409968078389,0.837,0.4116661208668102,loc,gaussian,3,ddpstar,1000,1000,20250815-071829,001-ddpstar,NA,NA
0,-4.140885225857594e-18,0.00129724952048362,0.00745946161547116,0.231,0.11144188205966712,scale,gaussian,3,ddpstar,1000,1000,20250815-071829,001-ddpstar,NA,NA
1,-2.8504213601722912e-18,0.00232443667816475,0.00447926915075458,0.839,0.15073672444148922,scale,gaussian,3,ddpstar,1000,1000,20250815-071829,001-ddpstar,NA,NA
2,3.167528766405761e-18,0.00511184652114633,0.01480718088991039,0.775,0.2276028233591468,scale,gaussian,3,ddpstar,1000,1000,20250815-071829,001-ddpstar,NA,NA
3,6.873666787844967e-18,0.00321151837096516,0.01877718437622154,0.507,0.17784044430727236,scale,gaussian,3,ddpstar,1000,1000,20250815-071829,001-ddpstar,NA,NA
0,1.5315907608829934e-17,0.02779886670025187,0.03160738190927821,1,0.5200899996244867,loc,gaussian,3,ddpstar,250,1000,20250815-083253,001-ddpstar,NA,NA
1,3.415305170653751e-18,0.03431794584946863,0.12807837216832044,0.85,0.5798173985739398,loc,gaussian,3,ddpstar,250,1000,20250815-083253,001-ddpstar,NA,NA
2,-5.523954123981545e-17,0.0974320524333664,0.20352674207122048,0.912,0.9812087891498088,loc,gaussian,3,ddpstar,250,1000,20250815-083253,001-ddpstar,NA,NA
3,4.3032815447615244e-17,0.07794246861998597,0.15221162420732007,0.87,0.891960250166052,loc,gaussian,3,ddpstar,250,1000,20250815-083253,001-ddpstar,NA,NA
0,-4.829787037791883e-18,9.814114992133247e-32,0.01298345753726375,0,9.526684996430389e-16,scale,gaussian,3,ddpstar,250,1000,20250815-083253,001-ddpstar,NA,NA
1,-6.837281753500438e-18,1.6969368995063168e-31,0.02007646930111526,0,1.2117806758027425e-15,scale,gaussian,3,ddpstar,250,1000,20250815-083253,001-ddpstar,NA,NA
2,1.2005329185198887e-17,2.2439509224377086e-31,0.078796300002626,0,1.336558641540364e-15,scale,gaussian,3,ddpstar,250,1000,20250815-083253,001-ddpstar,NA,NA
3,4.717220944373477e-18,2.935797437510533e-32,0.04858546389220473,0,4.256761609866542e-16,scale,gaussian,3,ddpstar,250,1000,20250815-083253,001-ddpstar,NA,NA
0,5.99831346340581e-18,0.0118297577459039,0.02044788787602766,0.954,0.33692093252436656,loc,gaussian,3,ddpstar,500,1000,20250815-071927,001-ddpstar,NA,NA
1,2.3204250568896695e-17,0.0186542535734702,0.04129740031579677,0.941,0.41698770766896026,loc,gaussian,3,ddpstar,500,1000,20250815-071927,001-ddpstar,NA,NA
2,-7.525357272371532e-17,0.04803046925678864,0.08861145154715368,0.927,0.6918066066855109,loc,gaussian,3,ddpstar,500,1000,20250815-071927,001-ddpstar,NA,NA
3,4.197563321957133e-17,0.03636580866169894,0.06345510106197937,0.918,0.6016140557186763,loc,gaussian,3,ddpstar,500,1000,20250815-071927,001-ddpstar,NA,NA
0,-7.746987007335264e-18,0.00262485523308571,0.00801581658993711,0.678,0.15952185666191526,scale,gaussian,3,ddpstar,500,1000,20250815-071927,001-ddpstar,NA,NA
1,-2.1630296385763645e-19,0.00366196369188818,0.00574972923407087,1,0.1870004817712906,scale,gaussian,3,ddpstar,500,1000,20250815-071927,001-ddpstar,NA,NA
2,3.9537591589010784e-18,0.00832655401615989,0.02557517686236906,0.74,0.2909107097588911,scale,gaussian,3,ddpstar,500,1000,20250815-071927,001-ddpstar,NA,NA
3,8.01772083354389e-18,0.00566902753300107,0.02830531954909144,0.456,0.2353591606763802,scale,gaussian,3,ddpstar,500,1000,20250815-071927,001-ddpstar,NA,NA
0,2.5315734570862763e-17,0.00626866362358203,0.0070783292257623,1,0.24521554425246916,loc,gaussian,4,ddpstar,1000,1000,20250815-075531,001-ddpstar,NA,NA
1,4.399475289779231e-17,0.00944793953155586,0.01849536374171787,0.989,0.30844983441771556,loc,gaussian,4,ddpstar,1000,1000,20250815-075531,001-ddpstar,NA,NA
2,2.804338485243076e-17,0.02402756908655937,0.04993516078575967,0.81,0.4989325820577312,loc,gaussian,4,ddpstar,1000,1000,20250815-075531,001-ddpstar,NA,NA
3,-1.788336017538698e-17,0.01863110466225591,0.02327465230174248,1,0.43109181734091706,loc,gaussian,4,ddpstar,1000,1000,20250815-075531,001-ddpstar,NA,NA
0,2.4748338957585742e-18,0.00167986255025334,0.00182632053377156,1,0.12771835232875442,scale,gaussian,4,ddpstar,1000,1000,20250815-075531,001-ddpstar,NA,NA
1,1.1084370500089843e-18,0.00217268418138629,0.00545288253979252,0.777,0.1486746372449172,scale,gaussian,4,ddpstar,1000,1000,20250815-075531,001-ddpstar,NA,NA
2,-1.503670958002042e-18,0.00530103673702878,0.01612435891918754,0.716,0.23426727610347392,scale,gaussian,4,ddpstar,1000,1000,20250815-075531,001-ddpstar,NA,NA
3,3.227447154293082e-18,0.00457789809902186,0.03126287327597511,0.326,0.20833388130051111,scale,gaussian,4,ddpstar,1000,1000,20250815-075531,001-ddpstar,NA,NA
0,2.2337054984891227e-17,0.02629460438590951,0.03617448880929302,1,0.5148971846239456,loc,gaussian,4,ddpstar,250,1000,20250815-071830,001-ddpstar,NA,NA
1,4.3813419734337166e-17,0.03471724140376751,0.04682488376750064,1,0.5830144876216216,loc,gaussian,4,ddpstar,250,1000,20250815-071830,001-ddpstar,NA,NA
