index,variable,kernel,error_code,error_msg,phase,count,relative,run,model
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,23,5.75e-4,dummy-05ewvsh0,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-05ewvsh0,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-05ewvsh0,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,107,0.00535,dummy-05oe4a3p,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,785,0.019625,dummy-05oe4a3p,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,6,3e-4,dummy-05oe4a3p,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-05oe4a3p,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,107,0.00535,dummy-05oe4a3p,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,785,0.019625,dummy-05oe4a3p,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,6,3e-4,dummy-05oe4a3p,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-05oe4a3p,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-05oe4a3p,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-05oe4a3p,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,47,0.00235,dummy-05x9kiin,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,91,0.002275,dummy-05x9kiin,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,10,5e-4,dummy-05x9kiin,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-05x9kiin,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,47,0.00235,dummy-05x9kiin,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,91,0.002275,dummy-05x9kiin,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,10,5e-4,dummy-05x9kiin,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-05x9kiin,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-05x9kiin,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-05x9kiin,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,79,0.00394999999999999,dummy-07debx7q,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,146,0.00365,dummy-07debx7q,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,1,5e-5,dummy-07debx7q,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-07debx7q,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,79,0.00394999999999999,dummy-07debx7q,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,146,0.00365,dummy-07debx7q,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,1,5e-5,dummy-07debx7q,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-07debx7q,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-07debx7q,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-07debx7q,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,50,0.0025,dummy-07mbaa0r,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,45,0.001125,dummy-07mbaa0r,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,7,3.5e-4,dummy-07mbaa0r,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-07mbaa0r,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,50,0.0025,dummy-07mbaa0r,ptm
