mcmc_duration_seconds,ess_bulk_tau,ess_tail_tau,rhat_tau,ess_bulk_tau_clipped,ess_tail_tau_clipped,rhat_tau_clipped,ess_bulk_min_delta,ess_tail_min_delta,rhat_max_delta,ess_bulk_median_delta,ess_tail_median_delta,rhat_median_delta,ess_bulk_per_minute_tau,ess_tail_per_minute_tau,ess_bulk_per_minute_tau_clipped,ess_tail_per_minute_tau_clipped,ess_bulk_min_per_minute_delta,ess_tail_min_per_minute_delta,ess_bulk_median_per_minute_delta,ess_tail_median_per_minute_delta,delta_acceptance_prob,delta_position_moved,tau_acceptance_prob,tau_position_moved,run,ess_bulk_loc_intercept,ess_tail_loc_intercept,rhat_loc_intercept,ess_bulk_scale_intercept,ess_tail_scale_intercept,rhat_scale_intercept,ess_bulk_per_minute_loc_intercept,ess_tail_per_minute_loc_intercept,loc_intercept_acceptance_prob,loc_intercept_position_moved,scale_intercept_acceptance_prob,scale_intercept_position_moved
73.28435945510864,1231.0533675598726,2883.7601581097397,1.0041697355959247,1231.0533675598726,2883.7601581097397,1.0041697355959247,6679.786473368628,6161.092921417262,1.0022395470057983,39714.675362428854,7246.112482541186,1.0015329750971298,1007.8985830371936,2361.0168769036404,1007.8985830371936,2361.0168769036404,5468.932134797815,5044.2628963889565,32515.54000694238,5932.599427559896,0.9073959759150894,99,0.9073959759150894,99,dummy-009j1dqx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126.62418341636658,7770.482597493944,11523.844060037049,1.0004803727966307,7770.482597493944,11523.844060037049,1.0004803727966307,12769.221933445317,3795.8735328254497,1.0005800459295593,20883.202665688288,11524.669359067684,1.00030923083515,3681.9898321995815,5460.494393307601,3681.9898321995815,5460.494393307601,6050.608148740813,1798.6486137535812,9895.362213876628,5460.885455587349,0.9062834155654832,99,0.9062834155654832,99,dummy-01otzo0l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112.6790280342102,4440.121128477893,8019.170659370505,1.00017691701364,4440.121128477893,8019.170659370505,1.00017691701364,8389.027637269943,9878.042312841388,1.0002675736336668,21254.44378393411,14197.936018685865,1.0000949731472435,2364.302145274011,4270.095757447867,2364.302145274011,4270.095757447867,4467.03940402626,5259.918807522376,11317.692824336984,7560.201538679547,0.9036136444450276,99,0.9036136444450276,99,dummy-022zlg99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99.2913851737976,1619.6040345940353,896.3608672246467,1.0015047359878957,1619.6040345940353,896.3608672246467,1.0015047359878957,6161.70907915475,13095.908819968849,1.0009855028816548,31778.858954616702,15861.366399569944,1.000505730316121,978.6976171754158,541.6547663157332,978.6976171754158,541.6547663157332,3723.410083384024,7913.622393551688,19203.393466004112,9584.738719360112,0.8796280207997487,99,0.8796280207997487,99,dummy-038vu0mi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267.5646753311157,3517.1487440703017,6036.5879695537315,1.000381448552682,3517.1487440703017,6036.5879695537315,1.000381448552682,29164.95016338437,10863.414702606624,1.0005793860983787,46228.55213682158,15178.970984903606,1.00014538141609,788.7024861673773,1353.6737528038827,788.7024861673773,1353.6737528038827,6540.0898217880795,2436.064780785349,10366.514655855744,3403.8060441542316,0.9065642021029034,99,0.9065642021029034,99,dummy-039rf2mi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101.35161757469176,1987.656760280167,3630.2813271307314,1.00066432174003,1987.656760280167,3630.2813271307314,1.001048996330387,35464.29861359337,9181.83904936934,1.0006322177335891,48824.03996407355,10135.579377338296,1.0003948939748932,1176.6897112315053,2149.120900486095,1176.6897112315053,2149.120900486095,20994.80963140487,5435.634439244773,28903.755736168103,6000.247230313111,0.9079589945496126,99,0.9079589945496126,99,dummy-04cqy158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114.53013944625854,13.50328920468128,11.820276627751957,1.2051105440001249,13.50328920468128,11.820276627751957,1.2051105440001249,22.24457632510033,757.3750076190064,1.1193032498625606,1863.6393778520255,9613.714574937125,1.0713479895665563,7.07409731794703,6.192401415855308,7.07409731794703,6.192401415855308,11.653479040181338,396.7732919635845,976.3225925660428,5036.428640400743,0.7893991709106507,99,0.7893991709106507,99,dummy-04n0h8tt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112.23447585105896,1355.8758409215563,2253.0619754685476,1.0039955451523652,1355.8758409215563,2253.0619754685476,1.0039955451523652,5498.93234527711,7611.886064649699,1.0019972486918518,40031.264553503504,8784.916295400215,1.0014671903634662,724.8445706046018,1204.4758751981765,724.8445706046018,1204.4758751981765,2939.7022458096467,4069.276934879299,21400.517577126888,4696.373139600131,0.9016699138935986,99,0.9016699138935986,99,dummy-04yy0h1i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106.2202558517456,1671.9283402072538,3453.1004057442115,1.001715126349435,1671.9283402072538,3453.1004057442115,1.0012347673114252,7439.799740544567,7308.222091589787,1.0007826280683287,43192.16005217134,9139.9180916712,1.0004413317606966,944.4121519764412,1950.5321530558883,944.4121519764412,1950.5321530558883,4202.47513859983,4128.151659768207,24397.696864403588,5162.810813275402,0.8953333361532211,99,0.8953333361532211,99,dummy-04z20c4v,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259.1085982322693,3669.7010960002,5505.9652797536955,1.0004299840413418,3669.7010960002,5505.9652797536955,1.0004299840413418,26497.085123266246,10463.289679226018,1.0006877539692989,47764.23367468802,13456.5566266636,1.000244511715556,849.7675000450472,1274.978595998128,849.7675000450472,1274.978595998128,6135.748169849729,2422.9121883126127,11060.435817387586,3116.0424744996503,0.9074806294658716,99,0.9074806294658716,99,dummy-05a1q8pz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
