kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob,model
0.1152211322958513,0.05153385121732042,dummy-009j1dqx,0.898,0.9593333333333334,0.9266666666666666,0.9766666666666668,0.18304925445647913,0.20450955534892604,0.18572270634078877,0.21096715108177216,ptm
0.06374940860977625,0.05543897875234964,dummy-01otzo0l,0.676,0.896,0.6766666666666666,0.8886666666666667,0.11735949814005778,0.21693196982228272,0.11835238141648062,0.219034416326803,ptm
0.07868569269323712,0.04395032136137395,dummy-022zlg99,0.992,0.996,0.998,0.9986666666666668,0.1591725613441397,0.26775762842564316,0.16163517362368193,0.27161272795039443,ptm
0.09215410561905046,0.03446877568824768,dummy-038vu0mi,0.8926666666666667,0.9206666666666666,0.9933333333333332,0.9426666666666668,0.10810404148959114,0.21170939371707745,0.10917273426648536,0.2145278292339735,ptm
0.0046816412706683,0.01606619474495641,dummy-039rf2mi,1,1,1,1,0.04654285406226567,0.04959676971903638,0.04664080952676565,0.04976095126946586,ptm
0.0956950747166764,0.04625269465956148,dummy-04cqy158,0.7286666666666667,0.902,0.7526666666666667,0.898,0.1221759069396002,0.1463693612157431,0.12301145624157496,0.1472839552822706,ptm
0.48145650655748407,0.05334916357679878,dummy-04n0h8tt,0.954,0.68,0.9406666666666668,0.6973333333333334,0.16155056784963426,0.2784609053194747,0.1655363369015364,0.2894057748377355,ptm
0.08828703489351725,0.05066243369213772,dummy-04yy0h1i,0.952,0.674,0.952,0.7066666666666667,0.13904676169834915,0.1399872313007198,0.13999302739253935,0.14266863083455245,ptm
0.08418697062258067,0.04213969594956061,dummy-04z20c4v,0.834,0.786,0.8346666666666667,0.8493333333333334,0.1399088474135579,0.1421819132015181,0.14054895420970953,0.14464201382751535,ptm
0.0023528437959957,0.01157324404907821,dummy-05a1q8pz,1,1,1,1,0.04742922490360201,0.04822851792487823,0.04752867372678518,0.04835085504676872,ptm
0.04855690526413011,0.05207170257754008,dummy-05ewvsh0,0.9993333333333332,1,0.9993333333333332,0.9993333333333332,0.19148208233994635,0.1645631974931185,0.1938414032648379,0.1672981748939517,ptm
0.14540977881825778,0.04561558142072373,dummy-05oe4a3p,0.8246666666666667,0.9353333333333332,0.8673333333333333,0.9446666666666668,0.14450597712479887,0.2216611592232776,0.1465794543881459,0.22901978205228105,ptm
0.4679307821743426,0.0567325587772618,dummy-05x9kiin,0.7946666666666666,0.67,0.8313333333333334,0.682,0.15688094775708153,0.26783479467467886,0.15909700262875842,0.27386895028944264,ptm
0.12363381046015044,0.11208617764072788,dummy-07debx7q,0.342,0.47933333333333333,0.4266666666666667,0.5726666666666667,0.18647010429243616,0.14250095635322327,0.1888623377700075,0.14423166563977954,ptm
0.05912006876500086,0.06434751632275781,dummy-07mbaa0r,0.45666666666666667,0.814,0.4733333333333334,0.8413333333333334,0.12169760205810362,0.1227651215743392,0.1225835509437637,0.1234787328881857,ptm
0.335769482049223,0.0251127449820238,dummy-08u000x7,0.5846666666666667,0.4113333333333334,0.5886666666666667,0.412,0.05261960286668504,0.10642549880510588,0.05272667647661739,0.10664053907130376,ptm
0.01584831995331406,0.03515886332546054,dummy-09709t4f,1,1,0.996,1,0.13494737572324297,0.11305802660951976,0.13585786142977552,0.11409156140623264,ptm
