waic,crps,fit_seconds,model,job,run,fold,log_score,crps_samples
2465.977468955394,0.5704190787879078,5252.034932613373,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-144555,1,142.9156714594707,0.5704190787879078
2488.693522562655,0.4952674240058856,5166.989282846451,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-144434,2,132.24276532960047,0.4952674240058856
2483.0477516592696,0.5532089665543032,5505.3341155052185,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-164719,3,136.20641075138687,0.5532089665543032
2456.3065679302654,0.5481216700909419,5212.258245944977,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-164229,4,148.26755287182658,0.5481216700909419
2490.5585527890257,0.524303441510907,4886.727623701096,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-183411,5,131.13246525979127,0.524303441510907
2452.6394423694164,0.5672599039400448,5556.526071071625,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-185154,6,150.61865858498203,0.5672599039400448
2518.7595062796745,0.4103548253378691,4724.347107410431,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-202543,7,117.47176673555104,0.4103548253378691
2447.8635566638523,0.5668331782414567,4577.143317699432,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-203751,8,153.1847616844447,0.5668331782414567
2477.849549351921,0.4927968281109043,4961.6868488788605,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-222114,9,138.57480859282813,0.4927968281109043
2476.7479168763252,0.5494540431041034,4504.7905650138855,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250905-222212,10,139.40895708692415,0.5494540431041034
1641.473388671875,0.22790004,380.9541404247284,gaussian-nonlinear,005-gaussian-nonlinear,20250909-145241,-1,NA,NA
1466.243408203125,0.57664484,237.3089952468872,gaussian-nonlinear,005-gaussian-nonlinear,20250909-142541,1,NA,NA
1492.21044921875,0.5011401,230.72571563720703,gaussian-nonlinear,005-gaussian-nonlinear,20250909-142535,2,NA,NA
1497.658447265625,0.54822356,244.32872438430783,gaussian-nonlinear,005-gaussian-nonlinear,20250909-142549,3,NA,NA
1439.7332763671875,0.53830475,347.6678514480591,gaussian-nonlinear,005-gaussian-nonlinear,20250909-143342,4,NA,NA
1489.377197265625,0.5525556,349.20488691329956,gaussian-nonlinear,005-gaussian-nonlinear,20250909-143343,5,NA,NA
1490.5299072265625,0.5649683,351.82835721969604,gaussian-nonlinear,005-gaussian-nonlinear,20250909-143358,6,NA,NA
1506.886474609375,0.4260569,347.73469638824463,gaussian-nonlinear,005-gaussian-nonlinear,20250909-144146,7,NA,NA
1451.286376953125,0.55139554,342.6289451122284,gaussian-nonlinear,005-gaussian-nonlinear,20250909-144141,8,NA,NA
1497.484375,0.50921077,351.0934069156647,gaussian-nonlinear,005-gaussian-nonlinear,20250909-144206,9,NA,NA
1480.105224609375,0.56683016,350.0219883918762,gaussian-nonlinear,005-gaussian-nonlinear,20250909-145117,10,NA,NA
1649.57568359375,0.24477574,303.26397347450256,gaussian-linear,006-gaussian-linear,20250909-144444,-1,NA,NA
1472.443115234375,0.571771,164.55108213424683,gaussian-linear,006-gaussian-linear,20250909-142412,1,NA,NA
1497.69140625,0.5080128,161.56037759780884,gaussian-linear,006-gaussian-linear,20250909-142409,2,NA,NA
1502.0382080078125,0.56557477,159.7158842086792,gaussian-linear,006-gaussian-linear,20250909-142405,3,NA,NA
1448.3905029296875,0.56639135,278.65347599983215,gaussian-linear,006-gaussian-linear,20250909-143042,4,NA,NA
1498.38916015625,0.54442465,279.917352437973,gaussian-linear,006-gaussian-linear,20250909-143049,5,NA,NA
1498.43896484375,0.55463284,288.40569591522217,gaussian-linear,006-gaussian-linear,20250909-143107,6,NA,NA
1513.8720703125,0.4130023,284.56027388572693,gaussian-linear,006-gaussian-linear,20250909-143726,7,NA,NA
1455.22265625,0.56024444,285.44963908195496,gaussian-linear,006-gaussian-linear,20250909-143736,8,NA,NA
1500.174072265625,0.5207956,287.0186462402344,gaussian-linear,006-gaussian-linear,20250909-143755,9,NA,NA
1485.104248046875,0.5503134,285.0842008590698,gaussian-linear,006-gaussian-linear,20250909-144411,10,NA,NA
2832.250732421875,0.21311012,198.82766962051392,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,1.4205208,NA
2531.042724609375,0.57912105,172.90947222709656,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,150.94888,NA
2561.754150390625,0.5028904,166.9718074798584,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,136.00613,NA
2572.19091796875,0.5442858,168.3057713508606,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,131.48712,NA
2527.7802734375,0.5331657,165.8753845691681,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,153.76418,NA
2562.4375,0.5290141,165.34154796600342,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,135.44185,NA
2524.739501953125,0.5742816,164.75032091140747,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,154.45001,NA
2586.0048828125,0.4320135,162.2782199382782,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151131,7,124.63621500000001,NA
2529.8544921875,0.55088115,160.33361792564392,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151134,8,152.55246,NA
2537.5634765625,0.48867774,150.83856534957886,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151115,9,147.62039,NA
2554.456787109375,0.56054544,181.21936225891113,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151835,10,140.55487,NA
2835.941162109375,0.27997613,77.52334952354431,gaussian-linear-nori,008-gaussian-linear-nori,20250909-151008,-1,1.6889315,NA
2544.312255859375,0.564699,83.78971004486084,gaussian-linear-nori,008-gaussian-linear-nori,20250909-145720,1,145.71252,NA
2565.569580078125,0.50283843,79.80267238616943,gaussian-linear-nori,008-gaussian-linear-nori,20250909-145717,2,135.61638,NA
2568.183349609375,0.5597412,79.28867816925049,gaussian-linear-nori,008-gaussian-linear-nori,20250909-145705,3,134.75786,NA
2531.94580078125,0.5429843,80.14924812316895,gaussian-linear-nori,008-gaussian-linear-nori,20250909-150138,4,152.91042,NA
2565.700439453125,0.5274621,79.79468822479248,gaussian-linear-nori,008-gaussian-linear-nori,20250909-150139,5,135.51173,NA
2530.528564453125,0.56728894,87.74949288368225,gaussian-linear-nori,008-gaussian-linear-nori,20250909-150211,6,153.39908,NA
2593.433837890625,0.4161771,83.10894250869751,gaussian-linear-nori,008-gaussian-linear-nori,20250909-150608,7,122.21248,NA
2529.774658203125,0.5592076,82.89859795570374,gaussian-linear-nori,008-gaussian-linear-nori,20250909-150605,8,154.19562,NA
2536.469970703125,0.5023613,79.90021443367004,gaussian-linear-nori,008-gaussian-linear-nori,20250909-150637,9,150.05135,NA
2557.09619140625,0.5596438,77.787034034729,gaussian-linear-nori,008-gaussian-linear-nori,20250909-151010,10,140.5859,NA
1384.677490234375,0.57498986,1639.8296160697937,bctm-ri,009-bctm,20250823-173311,1,NA,NA
1411.952880859375,0.5044937,1648.2714462280271,bctm-ri,009-bctm,20250823-180023,2,NA,NA
1425.084228515625,0.54682726,1665.393879652023,bctm-ri,009-bctm,20250823-182858,3,NA,NA
1368.210205078125,0.545248,1617.4432353973389,bctm-ri,009-bctm,20250823-185550,4,NA,NA
1411.419189453125,0.53888047,1627.0257120132446,bctm-ri,009-bctm,20250823-192452,5,NA,NA
2737.0966796875,0.19179158,1607.180274963379,bctm,009b-bctm,20250824-214059,-1,NA,NA
1558.11962890625,0.18488191,1801.2373600006104,bctm-ri,009b-bctm,20250824-214423,-1,NA,NA
2438.4326171875,0.5878739,1648.9093282222748,bctm,009c-bctm,20250829-125435,1,150.36557,NA
2473.311767578125,0.50158465,1496.878770112991,bctm,009c-bctm,20250828-111033,2,132.64017,NA
2483.614501953125,0.5417515,1481.6867334842682,bctm,009c-bctm,20250828-111010,3,130.36307,NA
2446.118896484375,0.53144974,1545.6060178279877,bctm,009c-bctm,20250828-113758,4,146.70259,NA
2479.674560546875,0.5239968,1558.2035064697266,bctm,009c-bctm,20250828-113807,5,129.86182,NA
2432.009765625,0.5774763,1467.5981123447418,bctm,009c-bctm,20250828-120402,6,152.68468,NA
2498.667724609375,0.42927453,1487.5061173439026,bctm,009c-bctm,20250828-120454,7,121.260666,NA
2438.466064453125,0.5563957,1520.5471835136414,bctm,009c-bctm,20250828-123058,8,150.51694,NA
2474.843017578125,0.47812283,1521.4844880104065,bctm,009c-bctm,20250828-123203,9,134.57947,NA
2464.127197265625,0.5497871,1468.4688017368317,bctm,009c-bctm,20250828-125700,10,138.40695,NA
1398.094970703125,0.5611654,1770.2019164562223,bctm-ri,009d-bctm,20250828-220532,6,NA,NA
1419.0216064453125,0.41975862,1607.2758564949036,bctm-ri,009d-bctm,20250828-220355,7,NA,NA
1367.0318603515625,0.55722284,1695.9171607494354,bctm-ri,009d-bctm,20250828-220450,8,NA,NA
1424.4630126953125,0.5036973,1640.2753701210022,bctm-ri,009d-bctm,20250828-220356,9,NA,NA
1409.1536865234375,0.5530382,1584.5626487731934,bctm-ri,009d-bctm,20250828-223123,10,NA,NA
NA,0.20186251932607577,15.506999999999998,qgam,010-qgam,20250824-153810,-1,NA,NA
NA,0.5638733110088431,14.156,qgam,010-qgam,20250824-153802,1,NA,NA
NA,0.5278348739258254,15.757,qgam,010-qgam,20250824-153805,10,NA,NA
NA,0.4850340836289667,13.203,qgam,010-qgam,20250824-153757,2,NA,NA
NA,0.5227777904426567,14.78,qgam,010-qgam,20250824-153758,3,NA,NA
NA,0.5261155485247818,13.885,qgam,010-qgam,20250824-153758,4,NA,NA
NA,0.5055523203971911,15.738,qgam,010-qgam,20250824-153810,5,NA,NA
NA,0.5562443167116875,15.031,qgam,010-qgam,20250824-153801,6,NA,NA
NA,0.4163623209676817,14.69,qgam,010-qgam,20250824-153801,7,NA,NA
NA,0.5431592228433857,15.058000000000002,qgam,010-qgam,20250824-153758,8,NA,NA
NA,0.4672027642993518,14.912,qgam,010-qgam,20250824-153801,9,NA,NA
2748.2352744125824,0.2102229154228102,218.589,ddpstar,012-ddpstar,20250824-154748,-1,1.2756631031100625,NA
2444.980537664791,0.5716217263451664,209.351,ddpstar,012-ddpstar,20250824-154314,1,151.21760128188754,NA
2475.3559095213077,0.5322623788574437,209.584,ddpstar,012-ddpstar,20250824-155414,10,139.22423018067465,NA
2483.4095569223414,0.48665952504265103,209.127,ddpstar,012-ddpstar,20250824-154305,2,131.4426650593299,NA
2487.7973586693265,0.5249026250688902,206.101,ddpstar,012-ddpstar,20250824-154303,3,133.32230449979522,NA
2442.602112577542,0.5235824705130119,206.92200000000005,ddpstar,012-ddpstar,20250824-154308,4,151.492342614811,NA
2489.585201624536,0.5084845323352746,203.337,ddpstar,012-ddpstar,20250824-154835,5,130.42292115801382,NA
2455.9820999155368,0.5666800478189393,202.324,ddpstar,012-ddpstar,20250824-154839,6,152.37997309984536,NA
2513.925012709957,0.4191144995791608,204.465,ddpstar,012-ddpstar,20250824-155412,7,122.58866950935446,NA
2464.822745434301,0.5416459204925334,205.204,ddpstar,012-ddpstar,20250824-155414,8,149.54418844252845,NA
2477.7142055320614,0.4775029075606539,205.144,ddpstar,012-ddpstar,20250824-154849,9,141.409979803836,NA
NA,0.19302950261556143,16.188000000000002,tamls,013-tamls,20250824-131103,-1,1.1020340551874142,NA
NA,0.5734394786549594,16.273,tamls,013-tamls,20250824-131034,1,148.85182663308626,NA
NA,0.5304990222932116,12.316,tamls,013-tamls,20250824-131100,10,139.3412246773616,NA
NA,0.48346720957379935,16.054000000000002,tamls,013-tamls,20250824-131034,2,133.84555497823874,NA
NA,0.5207078119162499,16.69,tamls,013-tamls,20250824-131035,3,137.69403794682427,NA
NA,0.5080883115482695,17.086,tamls,013-tamls,20250824-131035,4,143.41840810796606,NA
NA,0.5038823358323634,14.317,tamls,013-tamls,20250824-131033,5,128.86258645610658,NA
NA,0.561074366186014,15.615000000000002,tamls,013-tamls,20250824-131033,6,151.69587352393228,NA
NA,0.41834411668376154,17.110999999999997,tamls,013-tamls,20250824-131105,7,122.72695737272912,NA
NA,0.5397128767361146,16.088,tamls,013-tamls,20250824-131104,8,151.03908907410437,NA
NA,0.4610034684203357,16.941,tamls,013-tamls,20250824-131106,9,136.78070347556212,NA
NA,0.253045071526114,9549.048,kowal,015-kowal,20250824-171033,-1,1.439965448008829,NA
NA,0.5887627013545391,7368.171,kowal,015-kowal,20250824-162141,1,150.5495588858351,NA
NA,0.5632124018963005,7534.409000000001,kowal,015-kowal,20250824-162618,3,139.82510006965012,NA
NA,0.536696384731583,7336.486000000001,kowal,015-kowal,20250824-161334,4,149.14656189884977,NA
NA,0.25343731677914993,2878.603,kowal,015b-kowal,20250824-150536,-1,1.3896182312844385,NA
NA,0.5920184214929263,2219.74,kowal,015b-kowal,20250824-145453,1,151.36765656575398,NA
NA,0.23472335078739728,7938.054999999999,kowal,015c-kowal,20250828-210241,-1,1.3733726766215826,NA
NA,0.6025940760044628,7554.679000000001,kowal,015c-kowal,20250828-205750,1,153.82940345944354,NA
NA,0.1852440228525705,101.608,tamls-ri,016-tamls-ri,20250825-170657,-1,NA,NA
NA,0.5716961787333654,31.13,tamls-ri,016-tamls-ri,20250825-105256,1,NA,NA
NA,0.5626167401677716,96.758,tamls-ri,016-tamls-ri,20250825-143619,10,NA,NA
NA,0.5019499739227647,40.853,tamls-ri,016-tamls-ri,20250825-104017,2,NA,NA
NA,0.5459430529454201,100.12,tamls-ri,016-tamls-ri,20250825-204707,3,NA,NA
NA,0.5393087955078338,39.601,tamls-ri,016-tamls-ri,20250826-001220,4,NA,NA
NA,0.5499321374138554,44.782,tamls-ri,016-tamls-ri,20250825-231351,5,NA,NA
NA,0.5589962658645032,123.257,tamls-ri,016-tamls-ri,20250825-224701,6,NA,NA
NA,0.42007985712014184,107.717,tamls-ri,016-tamls-ri,20250825-215309,7,NA,NA
NA,0.5486956059473045,126.63,tamls-ri,016-tamls-ri,20250825-142919,8,NA,NA
NA,0.5053809722809798,247.082,tamls-ri,016-tamls-ri,20250825-182236,9,NA,NA
