kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-170526,3,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2486,0.1243,ptm,001g-ptm,20250905-170526,3,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-170526,3,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,91,0.00454999999999999,ptm,001g-ptm,20250906-021340,4,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-021340,4,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,3722,0.1861,ptm,001g-ptm,20250906-021340,4,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-021340,4,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,89,0.00444999999999999,ptm,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,3709,0.18545,ptm,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,warmup,83,0.00415,ptm,001g-ptm,20250905-161343,4,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-161343,4,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,993,0.04965,ptm,001g-ptm,20250905-161343,4,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-161343,4,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,72,0.0036,ptm,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2328,0.1164,ptm,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,97,0.00485,ptm,001g-ptm,20250906-040240,5,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-040240,5,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,3589,0.17945000000000003,ptm,001g-ptm,20250906-040240,5,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-040240,5,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,97,0.00485,ptm,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,3589,0.17945000000000003,ptm,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,warmup,89,0.00445,ptm,001g-ptm,20250905-164406,5,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-164406,5,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,1148,0.05740000000000001,ptm,001g-ptm,20250905-164406,5,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-164406,5,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,84,0.0042,ptm,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2192,0.1096,ptm,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,93,0.00465,ptm,001g-ptm,20250905-163845,6,-4,4,20,identity,NA
